"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050","Serie A","Europe","Italy",2019,"Juventus FC","10","Paulo Dybala","Second Striker",1993-11-15,26,"Argentina","AS Roma","1.77","left","2015-07-01","US Palermo",NA,7.2e+07
"2019","https://www.transfermarkt.com/christian-eriksen/profil/spieler/69633","Serie A","Europe","Italy",2019,"Inter Milan","24","Christian Eriksen","Central Midfield",1992-02-14,28,"Denmark","Manchester United","1.82","right","2020-01-28","Tottenham Hotspur",NA,6.8e+07
"2019","https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341","Serie A","Europe","Italy",2019,"Inter Milan","9","Romelu Lukaku","Centre-Forward",1993-05-13,27,"Belgium","SSC Napoli","1.91","left","2022-07-01","Chelsea FC",NA,6.8e+07
"2019","https://www.transfermarkt.com/matthijs-de-ligt/profil/spieler/326031","Serie A","Europe","Italy",2019,"Juventus FC","4","Matthijs de Ligt","Centre-Back",1999-08-12,20,"Netherlands","Manchester United","1.89","right","2019-07-18","Ajax Amsterdam",NA,67500000
"2019","https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625","Serie A","Europe","Italy",2019,"Inter Milan","10","Lautaro Martínez","Centre-Forward",1997-08-22,22,"Argentina","Inter Milan","1.74","right","2018-07-04","Racing Club",NA,6.4e+07
"2019","https://www.transfermarkt.com/sergej-milinkovic-savic/profil/spieler/266302","Serie A","Europe","Italy",2019,"SS Lazio","21","Sergej Milinković-Savić","Central Midfield",1995-02-27,25,"Serbia","Al-Hilal SFC","1.92","right","2015-08-06","KRC Genk",NA,6.4e+07
"2019","https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198","Serie A","Europe","Italy",2019,"Juventus FC","7","Cristiano Ronaldo","Centre-Forward",1985-02-05,35,"Portugal","Al-Nassr FC","1.88","right","2018-07-10","Real Madrid",NA,6e+07
"2019","https://www.transfermarkt.com/kalidou-koulibaly/profil/spieler/93128","Serie A","Europe","Italy",2019,"SSC Napoli","26","Kalidou Koulibaly","Centre-Back",1991-06-20,29,"Senegal","Al-Hilal SFC","1.86","right","2014-07-01","KRC Genk",NA,5.6e+07
"2019","https://www.transfermarkt.com/miralem-pjanic/profil/spieler/44162","Serie A","Europe","Italy",2019,"Juventus FC","5","Miralem Pjanić","Central Midfield",1990-04-02,30,"Bosnia-Herzegovina","CSKA Moscow","1.81","right","2016-07-01","AS Roma",NA,5.2e+07
"2019","https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","Serie A","Europe","Italy",2019,"AC Milan","99","Gianluigi Donnarumma","Goalkeeper",1999-02-25,21,"Italy","Paris Saint-Germain","1.96","right","2015-07-01","Milan Primavera",NA,49500000
