Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,Percentile_% of Aerials Won,Percentile_% of Dribblers Tackled,Percentile_Aerials Lost,Percentile_Aerials Won,Percentile_Assists,Percentile_Average Shot Distance,Percentile_Ball Recoveries,Percentile_Blocks,Percentile_Carries,Percentile_Carries into Final Third,Percentile_Carries into Penalty Area,Percentile_Challenges Lost,Percentile_Clearances,Percentile_Corner Kicks,Percentile_Crosses,Percentile_Crosses into Penalty Area,Percentile_Dead-ball Passes,Percentile_Dispossessed,Percentile_Dribblers Tackled,Percentile_Dribbles Challenged,Percentile_Errors,Percentile_Fouls Committed,Percentile_Fouls Drawn,Percentile_GCA (Dead-ball Pass),Percentile_GCA (Defensive Action),Percentile_GCA (Fouls Drawn),Percentile_GCA (Live-ball Pass),Percentile_GCA (Shot),Percentile_GCA (Take-On),Percentile_Goal-Creating Actions,Percentile_Goals,Percentile_Goals + Assists,Percentile_Goals - xG,Percentile_Goals/Shot,Percentile_Goals/Shot on Target,Percentile_Inswinging Corner Kicks,Percentile_Interceptions,Percentile_Key Passes,Percentile_Live-ball Passes,Percentile_Miscontrols,Percentile_Non-Penalty Goals,Percentile_Non-Penalty Goals - npxG,Percentile_Offsides,Percentile_Outswinging Corner Kicks,Percentile_Own Goals,Percentile_Pass Completion %,Percentile_Pass Completion % (Long),Percentile_Pass Completion % (Medium),Percentile_Pass Completion % (Short),Percentile_Passes Attempted,Percentile_Passes Attempted (Long),Percentile_Passes Attempted (Medium),Percentile_Passes Attempted (Short),Percentile_Passes Blocked,Percentile_Passes Completed,Percentile_Passes Completed (Long),Percentile_Passes Completed (Medium),Percentile_Passes Completed (Short),Percentile_Passes Offside,Percentile_Passes Received,Percentile_Passes from Free Kicks,Percentile_Passes into Final Third,Percentile_Passes into Penalty Area,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Conceded,Percentile_Penalty Kicks Made,Percentile_Penalty Kicks Won,Percentile_Progressive Carries,Percentile_Progressive Carrying Distance,Percentile_Progressive Passes,Percentile_Progressive Passes Rec,Percentile_Progressive Passing Distance,Percentile_Red Cards,Percentile_SCA (Dead-ball Pass),Percentile_SCA (Defensive Action),Percentile_SCA (Fouls Drawn),Percentile_SCA (Live-ball Pass),Percentile_SCA (Shot),Percentile_SCA (Take-On),Percentile_Second Yellow Card,Percentile_Shot-Creating Actions,Percentile_Shots Blocked,Percentile_Shots Total,Percentile_Shots from Free Kicks,Percentile_Shots on Target,Percentile_Shots on Target %,Percentile_Straight Corner Kicks,Percentile_Successful Take-On %,Percentile_Successful Take-Ons,Percentile_Switches,Percentile_Tackled During Take-On Percentage,Percentile_Tackles,Percentile_Tackles (Att 3rd),Percentile_Tackles (Def 3rd),Percentile_Tackles (Mid 3rd),Percentile_Tackles Won,Percentile_Take-Ons Attempted,Percentile_Through Balls,Percentile_Throw-ins Taken,Percentile_Times Tackled During Take-On,Percentile_Tkl+Int,Percentile_Total Carrying Distance,Percentile_Total Passing Distance,Percentile_Touches,Percentile_Touches (Att 3rd),Percentile_Touches (Att Pen),Percentile_Touches (Def 3rd),Percentile_Touches (Def Pen),Percentile_Touches (Live-Ball),Percentile_Touches (Mid 3rd),Percentile_Yellow Cards,Percentile_npxG + xAG,Percentile_npxG/Shot,Percentile_npxG: Non-Penalty xG,Percentile_xA: Expected Assists,Percentile_xAG: Exp. Assisted Goals,Percentile_xG: Expected Goals
Adrian Beck,Att Mid / Wingers,771,2024-2025 Bundesliga,62.5,35.3,1.05,1.75,0.12,18.9,8.17,2.68,29.42,0.82,0.23,1.28,1.52,1.52,2.68,0.47,4.2,1.87,0.7,1.98,0.0,0.58,0.58,0.12,0.0,0.0,0.23,0.0,0.0,0.35,0.23,0.35,0.01,0.12,0.4,1.17,0.7,1.17,38.17,2.22,0.23,0.01,0.0,0.35,0.0,78.3,72.5,86.1,80.5,42.49,4.67,15.99,18.56,1.81,33.27,3.39,13.77,14.94,0.12,31.87,0.23,2.8,1.52,0.0,0.0,0.0,0.0,1.17,49.96,3.85,5.37,127.82,0.0,0.35,0.0,0.0,2.33,0.12,0.47,0.0,3.27,0.23,1.98,0.0,0.58,29.4,0.0,53.8,1.63,0.35,46.2,2.22,0.0,1.28,0.93,0.93,3.04,0.0,1.17,1.4,2.92,149.77,591.95,57.55,17.86,2.92,12.02,2.1,57.55,28.6,0.0,0.32,0.11,0.22,0.13,0.09,0.22,99.0,31.0,46.0,89.0,35.0,28.0,99.0,99.0,56.0,11.0,5.0,7.0,81.0,75.0,52.0,79.0,74.0,25.0,60.0,83.0,70.0,83.0,15.0,91.0,45.0,30.0,32.0,33.0,25.0,25.0,44.0,36.0,50.0,59.0,66.0,89.0,83.0,42.0,66.0,54.0,44.0,50.0,96.0,76.0,50.0,72.0,93.0,93.0,25.0,62.0,74.0,77.0,58.0,80.5,68.0,87.0,85.0,50.0,67.0,54.0,46.0,74.0,70.0,44.0,55.0,46.0,34.0,5.0,11.0,62.0,21.0,64.0,50.0,73.0,28.0,6.0,56.0,21.0,74.0,50.0,50.0,85.0,47.0,33.0,30.0,31.0,46.0,95.0,68.0,91.0,62.0,89.0,5.0,95.0,79.0,58.0,50.0,7.0,85.0,56.0,89.0,36.0,81.0,74.0,25.0,29.0,97.0,91.0,74.0,81.0,90.0,38.0,60.0,60.0,26.0,17.0,58.0
Adrian Beck,Att Mid / Wingers,818,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",61.5,36.8,1.1,1.76,0.11,18.9,8.25,2.64,29.71,0.99,0.22,1.32,1.54,1.43,2.53,0.44,4.18,1.76,0.77,2.09,0.0,0.66,0.66,0.11,0.0,0.0,0.22,0.0,0.0,0.33,0.22,0.33,0.01,0.12,0.4,1.1,0.66,1.1,37.96,2.31,0.22,0.01,0.0,0.33,0.0,78.1,73.8,87.0,79.5,42.25,4.62,16.06,18.26,1.815,33.01,3.41,13.97,14.52,0.11,31.8,0.22,2.75,1.43,0.0,0.0,0.0,0.0,1.1,48.08,3.96,5.06,124.33,0.0,0.33,0.0,0.0,2.2,0.11,0.44,0.0,3.08,0.22,1.87,0.0,0.55,29.4,0.0,55.2,1.76,0.33,44.8,2.31,0.0,1.43,0.88,1.1,3.19,0.0,1.1,1.43,2.97,151.06,591.82,56.99,17.49,2.75,12.43,2.09,56.99,28.28,0.0,0.3,0.11,0.21,0.12,0.09,0.21,99.0,37.0,33.0,97.0,21.0,30.0,99.0,99.0,39.0,3.0,3.0,6.0,99.0,62.0,41.0,76.0,77.0,34.0,85.0,95.0,74.0,77.0,9.0,91.0,41.0,23.0,24.0,21.0,18.0,27.0,33.0,25.0,41.0,53.0,78.0,77.0,87.0,13.0,66.0,45.0,37.0,43.0,99.0,67.0,50.0,64.0,97.0,93.0,6.0,65.0,67.0,86.0,47.0,74.0,69.0,89.0,89.0,40.0,80.0,28.0,41.0,71.0,50.0,31.0,55.0,34.0,27.0,1.0,2.0,55.0,11.0,65.0,57.0,57.0,14.0,2.0,25.0,11.0,65.0,54.0,22.0,96.0,27.0,23.0,16.0,16.0,43.0,98.0,62.0,74.0,65.0,96.0,1.0,99.0,90.0,86.0,38.0,1.0,90.0,67.0,97.0,15.0,85.0,79.0,7.0,12.0,99.0,99.0,79.0,89.0,98.0,13.0,62.0,38.0,23.0,7.0,31.0
Adrian Beck,Midfielders,974,2023-2024 Bundesliga,40.9,37.5,2.4,1.66,0.09,13.5,7.02,1.57,29.01,1.11,0.0,1.39,1.39,0.0,0.55,0.0,1.66,1.66,0.83,2.22,0.0,1.29,0.92,0.0,0.0,0.0,0.28,0.09,0.0,0.37,0.09,0.18,-0.06,0.08,0.33,0.0,0.37,1.02,37.98,2.31,0.09,-0.06,0.18,0.0,0.0,72.2,63.9,81.9,77.3,39.83,3.33,13.77,18.76,1.57,28.74,2.13,11.27,14.51,0.18,31.51,0.28,2.31,0.46,0.0,0.0,0.0,0.0,1.57,64.87,2.68,3.97,94.9,0.0,0.0,0.09,0.0,2.03,0.28,0.28,0.0,2.68,0.0,1.11,0.0,0.28,25.0,0.0,61.8,1.94,0.46,38.2,2.03,0.18,0.74,1.11,1.2,3.14,0.18,0.09,1.2,2.4,162.54,471.44,51.75,15.62,2.86,8.87,1.11,51.75,28.09,0.09,0.23,0.15,0.16,0.06,0.07,0.16,36.0,17.0,1.0,86.0,45.0,99.0,89.0,71.0,48.0,42.0,6.0,9.0,51.0,23.0,34.0,8.0,40.0,8.0,47.0,79.0,65.0,39.0,34.0,41.0,47.0,38.0,68.0,96.0,41.0,70.0,53.0,48.0,8.0,58.0,64.0,29.0,9.0,53.0,30.0,12.0,56.0,8.0,12.0,29.0,51.0,14.0,70.0,44.0,9.0,29.0,31.0,31.0,38.0,48.5,24.0,34.0,31.0,27.0,39.0,34.0,15.0,24.0,22.0,42.0,58.0,43.0,41.0,51.0,40.0,7.0,63.0,6.0,59.0,22.0,84.0,10.0,53.0,89.0,86.0,53.0,53.0,2.0,43.0,35.0,40.0,40.0,46.0,87.0,95.0,88.0,68.0,58.0,38.0,44.0,81.0,59.0,87.0,61.0,24.0,22.0,33.0,54.0,29.0,37.0,56.0,89.0,26.0,13.0,37.0,41.0,84.0,59.0,93.0,78.0,21.0,38.0,72.0
Alassane Pléa,Att Mid / Wingers,1283,2024-2025 Bundesliga,33.3,50.0,1.4,0.7,0.21,14.3,3.09,0.49,30.94,1.75,0.84,0.21,0.28,0.07,2.1,0.28,1.82,1.12,0.21,0.42,0.07,0.91,1.61,0.07,0.0,0.07,0.56,0.0,0.07,0.77,0.42,0.63,0.13,0.23,0.86,0.0,0.14,1.12,37.25,1.96,0.42,0.13,0.42,0.0,0.0,71.8,60.8,74.6,82.4,39.49,3.58,12.7,19.08,1.2599999999999998,28.34,2.17,9.47,15.71,0.42,39.14,0.07,4.0,1.4,0.0,0.0,0.0,0.07,2.46,86.84,5.54,6.73,145.07,0.0,0.14,0.07,0.28,2.31,0.07,0.28,0.0,3.16,0.0,1.82,0.0,0.49,26.9,0.0,45.7,1.12,0.49,48.6,0.42,0.28,0.0,0.14,0.21,2.46,0.98,0.35,1.19,0.56,156.29,450.21,48.19,20.06,3.37,4.0,0.14,48.19,24.62,0.21,0.43,0.16,0.29,0.15,0.14,0.29,38.0,69.0,30.0,52.0,66.0,85.0,19.0,7.0,66.0,42.0,52.0,95.0,15.0,40.0,36.0,52.0,50.0,72.0,9.0,5.0,21.0,60.0,64.0,83.0,45.0,83.0,95.0,33.0,68.0,91.0,85.0,79.0,85.0,97.0,99.0,25.0,9.0,38.0,60.0,70.0,87.0,83.0,23.0,29.0,50.0,30.0,74.0,30.0,33.0,58.0,54.0,56.0,62.0,9.0,54.0,60.0,56.0,58.0,7.0,68.0,26.0,91.0,62.0,44.0,55.0,46.0,85.0,46.0,56.0,85.0,52.0,74.0,50.0,54.0,70.0,68.0,54.0,11.0,48.0,50.0,46.0,17.0,34.0,33.0,26.0,21.0,46.0,62.0,44.0,95.0,46.0,3.0,48.0,1.0,5.0,5.0,36.0,95.0,32.0,64.0,5.0,42.0,58.0,54.0,38.0,44.0,15.0,3.0,54.0,75.0,21.0,62.0,94.0,75.0,34.0,36.0,70.0
Alassane Pléa,Att Mid / Wingers,1774,2022-2023 Bundesliga,32.6,30.8,1.47,0.71,0.46,18.6,4.46,1.17,28.82,1.62,0.66,0.91,0.71,0.1,2.44,0.36,1.52,1.12,0.41,1.32,0.0,1.22,1.62,0.0,0.0,0.0,0.56,0.0,0.05,0.61,0.1,0.56,-0.15,0.04,0.09,0.1,0.61,1.62,37.03,1.98,0.05,-0.12,0.2,0.0,0.0,69.3,51.1,69.9,83.1,38.71,4.67,11.11,18.01,1.545,26.84,2.38,7.76,14.97,0.15,36.88,0.46,3.65,1.72,0.1,0.05,0.05,0.0,2.08,67.02,4.77,7.91,145.45,0.0,0.1,0.05,0.15,2.84,0.15,0.1,0.0,3.4,0.15,1.37,0.05,0.56,40.7,0.0,51.6,0.81,0.2,41.9,0.81,0.2,0.25,0.36,0.41,1.57,0.71,0.56,0.66,1.42,142.2,416.57,48.04,20.29,2.89,4.77,0.91,47.94,23.44,0.25,0.38,0.13,0.17,0.27,0.2,0.25,33.0,35.0,33.0,48.0,96.0,33.0,43.0,54.0,60.0,48.0,42.0,43.0,65.0,35.0,58.0,73.0,39.0,71.0,42.0,48.0,57.0,45.0,63.0,36.0,47.0,24.0,90.0,27.0,63.0,70.0,20.0,60.0,2.0,13.0,9.0,49.0,76.0,70.0,70.0,68.0,7.0,11.0,58.0,24.0,50.0,32.0,46.0,21.0,49.0,67.0,76.0,58.0,60.0,25.5,61.0,77.0,55.0,61.0,67.0,70.0,67.0,95.0,86.0,83.0,8.0,79.0,30.0,39.0,43.0,83.0,74.0,76.0,54.0,45.0,64.0,43.0,85.0,30.0,23.0,52.0,57.0,75.0,17.0,65.0,30.0,67.0,45.0,89.0,23.0,51.0,71.0,27.0,36.0,30.0,27.0,18.0,14.0,96.0,55.0,88.0,35.0,39.0,61.0,61.0,52.0,30.0,39.0,61.0,61.0,65.0,24.0,45.0,69.0,29.0,82.0,65.0,54.0
Alassane Pléa,Att Mid / Wingers,1826,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",34.0,66.7,1.63,0.84,0.2,14.1,2.96,0.54,31.2,1.77,0.94,0.15,0.35,0.1,2.12,0.2,1.87,1.23,0.3,0.44,0.05,0.74,1.38,0.05,0.0,0.05,0.49,0.0,0.05,0.64,0.3,0.49,0.03,0.16,0.46,0.0,0.15,1.18,37.75,1.77,0.3,0.03,0.39,0.0,0.0,70.5,57.7,71.3,82.4,39.92,3.5,13.21,19.03,1.255,28.14,2.02,9.41,15.67,0.3,38.94,0.05,3.4,1.53,0.0,0.0,0.0,0.05,2.46,85.91,5.42,6.95,132.39,0.0,0.1,0.05,0.3,2.37,0.15,0.2,0.0,3.15,0.0,1.82,0.0,0.64,35.1,0.0,41.3,0.94,0.49,47.8,0.59,0.3,0.05,0.25,0.2,2.27,0.79,0.35,1.08,0.74,155.45,438.22,48.4,20.75,3.4,3.65,0.2,48.4,24.5,0.15,0.4,0.15,0.27,0.13,0.13,0.27,47.0,99.0,14.0,80.0,51.0,93.0,11.0,13.0,45.0,28.0,31.0,99.0,23.0,25.0,29.0,32.0,45.0,73.0,14.0,1.0,25.0,75.0,44.0,77.0,41.0,70.0,91.0,21.0,63.0,79.0,57.0,50.0,53.0,81.0,90.0,13.0,4.0,15.0,65.0,79.0,61.0,52.0,23.0,17.0,50.0,16.0,71.0,11.0,21.0,59.0,50.0,63.0,55.0,10.0,51.0,57.0,55.0,45.0,21.0,62.0,9.0,81.0,52.0,31.0,55.0,34.0,78.0,18.0,29.0,83.0,34.0,71.0,57.0,38.0,56.0,81.0,35.0,20.0,30.0,54.0,23.0,14.0,25.0,23.0,23.0,42.0,43.0,34.0,19.0,89.0,52.0,4.0,51.0,1.0,10.0,2.0,18.0,95.0,33.0,83.0,1.0,19.0,55.0,47.0,23.0,25.0,11.0,3.0,47.0,77.0,44.0,42.0,92.0,61.0,27.0,25.0,55.0
Alassane Pléa,Att Mid / Wingers,1980,2021-2022 Bundesliga,28.6,35.0,1.59,0.64,0.27,17.7,4.0,0.41,27.05,1.55,1.09,0.59,0.41,0.18,1.32,0.18,1.86,0.95,0.32,0.91,0.0,0.86,1.09,0.0,0.0,0.0,0.36,0.05,0.0,0.41,0.41,0.68,0.05,0.11,0.27,0.09,0.18,2.5,32.91,1.82,0.27,0.01,0.59,0.05,0.0,72.8,67.8,79.7,80.0,35.05,3.95,10.95,15.91,0.905,25.5,2.68,8.73,12.73,0.27,34.59,0.32,3.68,1.68,0.14,0.0,0.14,0.0,2.36,77.0,6.05,6.41,133.91,0.0,0.05,0.05,0.23,3.77,0.36,0.32,0.0,4.77,0.05,2.59,0.0,1.0,38.6,0.0,50.0,1.45,0.32,50.0,0.82,0.14,0.27,0.41,0.64,2.91,0.91,0.23,1.45,1.0,156.0,418.18,44.91,19.55,3.91,3.0,0.68,44.77,22.91,0.18,0.59,0.1,0.26,0.34,0.34,0.36,33.0,58.0,41.0,39.0,75.0,42.0,28.0,9.0,51.0,46.0,71.0,88.0,32.0,41.0,24.0,35.0,49.0,76.0,29.0,16.0,59.0,66.0,36.0,39.0,47.0,29.0,68.0,64.0,31.0,56.0,88.0,85.0,68.0,55.0,42.0,46.0,5.0,94.0,55.0,92.0,65.0,62.0,16.0,48.0,51.0,56.0,92.0,75.0,44.0,54.0,64.0,49.0,51.0,14.0,54.0,79.0,54.0,49.0,18.0,65.0,51.0,96.0,76.0,94.0,53.0,94.0,37.0,51.0,55.0,96.0,44.0,78.0,53.0,34.0,64.0,59.0,96.0,79.0,71.0,52.0,91.0,44.0,76.0,31.0,78.0,61.0,44.0,43.0,56.0,84.0,43.0,24.0,22.0,29.0,25.0,42.0,62.0,99.0,28.0,42.0,11.0,48.0,59.0,48.0,52.0,64.0,8.0,45.0,48.0,59.0,29.0,84.0,45.0,62.0,91.0,95.0,82.0
Alassane Pléa,Forwards,223,2019-2020 Europa League,25.0,0.0,3.63,1.21,0.4,17.5,2.83,1.61,23.41,1.61,0.81,1.61,0.0,0.0,2.42,0.0,2.02,2.42,0.0,1.61,0.0,1.21,1.61,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.4,-0.81,0.0,0.0,0.0,0.0,0.81,29.46,3.23,0.0,-0.81,0.0,0.0,0.0,71.3,25.0,56.0,88.4,32.29,1.61,10.09,17.35,1.0050000000000001,23.0,0.4,5.65,15.34,0.81,36.73,0.0,0.4,0.81,0.0,0.0,0.0,0.0,1.21,54.48,3.23,10.49,69.42,0.0,0.0,0.0,0.4,2.83,0.4,0.4,0.0,4.04,0.0,4.84,0.4,0.81,16.7,0.0,55.6,2.02,0.0,44.4,1.21,0.0,0.4,0.81,0.81,3.63,0.4,0.0,1.61,1.21,165.07,267.17,46.41,28.25,7.26,1.21,0.0,46.41,17.76,0.4,0.97,0.17,0.81,0.12,0.16,0.81,19.0,20.0,38.0,30.0,92.0,21.0,66.0,97.0,81.0,79.0,57.0,7.0,9.0,45.0,98.0,40.0,70.0,15.0,20.0,87.0,52.0,69.0,57.0,50.0,47.0,42.0,89.0,40.0,44.0,75.0,15.0,44.0,2.0,18.0,18.0,49.0,18.0,39.0,88.0,42.0,18.0,2.0,94.0,48.0,51.0,61.0,11.0,20.0,93.0,90.0,67.0,93.0,89.0,87.5,90.0,31.0,79.0,94.0,4.0,91.0,38.0,13.0,66.0,40.0,50.0,42.0,43.0,47.0,76.0,86.0,96.0,87.0,52.0,47.0,43.0,71.0,92.0,79.0,91.0,52.0,94.0,34.0,99.0,99.0,50.0,21.0,50.0,45.0,87.0,32.0,45.0,77.0,21.0,83.0,84.0,79.0,86.0,91.0,31.0,18.0,65.0,91.0,77.0,90.0,98.0,93.0,9.0,6.0,90.0,72.0,15.0,94.0,61.0,97.0,77.0,73.0,95.0
Alassane Pléa,Forwards,539,2020-2021 Champions League,25.0,25.0,1.5,0.5,0.33,15.6,3.84,0.83,19.2,1.34,0.17,0.5,0.0,0.0,1.5,0.17,1.34,1.0,0.17,0.67,0.0,1.17,1.34,0.0,0.0,0.0,0.67,0.17,0.0,0.83,0.83,1.17,0.22,0.31,0.71,0.0,0.33,1.34,25.05,1.84,0.83,0.22,0.67,0.0,0.0,73.0,69.2,78.3,80.5,26.55,2.17,7.68,13.69,0.75,19.37,1.5,6.01,11.02,0.17,27.38,0.0,1.17,1.84,0.0,0.0,0.0,0.0,2.34,55.94,3.01,4.34,73.47,0.0,0.0,0.0,0.0,2.17,0.33,0.17,0.0,2.67,0.0,2.67,0.33,1.17,43.8,0.0,44.4,0.67,0.33,55.6,0.33,0.0,0.0,0.33,0.0,1.5,0.17,0.0,0.83,0.67,111.71,298.05,35.57,14.86,3.01,3.01,0.33,35.57,17.87,0.17,0.8,0.23,0.62,0.1,0.18,0.62,18.0,57.0,63.0,22.0,86.0,37.0,80.0,54.0,45.0,48.0,19.0,57.0,9.0,39.0,86.0,83.0,42.0,69.0,50.0,45.0,51.0,46.0,40.0,49.0,48.0,32.0,98.0,86.0,37.0,87.0,83.0,90.0,80.0,88.0,89.0,44.0,48.0,61.0,52.0,77.0,87.0,81.0,36.0,44.0,51.0,40.0,55.0,58.0,45.0,52.0,69.0,64.0,48.0,58.5,51.0,73.0,67.0,49.0,45.0,48.0,36.0,51.0,93.0,38.0,51.0,38.0,34.0,61.0,58.0,72.0,19.0,70.0,51.0,43.0,45.0,16.0,72.0,80.0,49.0,51.0,60.0,33.0,55.0,93.0,61.0,54.0,49.0,26.0,27.0,77.0,26.0,34.0,29.0,24.0,54.0,18.0,34.0,73.0,28.0,55.0,37.0,49.0,69.0,45.0,34.0,23.0,54.0,27.0,45.0,46.0,37.0,93.0,86.0,86.0,55.0,70.0,72.0
Alassane Pléa,Forwards,578,2017-2018 Europa League,35.7,20.0,1.4,0.78,0.16,18.5,2.65,0.0,31.3,2.18,0.62,0.62,0.31,0.0,0.47,0.0,1.09,1.71,0.16,0.78,0.0,0.78,0.93,0.0,0.0,0.0,0.31,0.0,0.0,0.31,0.62,0.78,0.33,0.2,0.4,0.0,0.16,1.09,39.08,2.02,0.62,0.33,0.16,0.0,0.0,84.9,65.2,87.9,93.3,40.17,3.58,10.28,21.02,0.7,34.1,2.34,9.03,19.62,0.0,42.66,0.0,3.74,0.31,0.0,0.0,0.0,0.0,2.34,75.83,4.67,7.32,92.96,0.0,0.0,0.0,0.31,2.18,0.0,0.62,0.0,3.11,0.0,3.11,0.0,1.56,50.0,0.0,57.1,1.25,0.62,42.9,0.31,0.0,0.0,0.31,0.31,2.18,0.31,0.0,0.93,0.47,164.27,483.63,48.58,20.55,2.96,1.25,0.31,48.58,26.94,0.0,0.45,0.09,0.3,0.12,0.16,0.3,39.0,63.0,77.0,24.0,68.0,22.0,46.0,5.0,91.0,85.0,51.0,44.0,31.0,40.0,41.0,35.0,32.0,47.0,63.0,57.0,53.0,80.0,26.0,48.0,50.0,43.0,73.0,44.0,43.0,56.0,77.0,77.0,90.0,72.0,62.0,45.0,40.0,55.0,90.0,80.0,82.0,90.0,90.0,45.0,50.0,98.0,63.0,96.0,99.0,90.0,83.0,87.0,90.0,10.5,95.0,89.0,90.0,95.0,75.0,92.0,35.0,96.0,32.0,43.0,50.0,45.0,45.0,67.0,83.0,93.0,55.0,87.0,51.0,41.0,44.0,59.0,67.0,20.0,87.0,50.0,64.0,38.0,78.0,43.0,85.0,69.0,49.0,60.0,64.0,90.0,60.0,29.0,26.0,26.0,47.0,40.0,60.0,80.0,25.0,44.0,27.0,80.0,91.0,90.0,72.0,20.0,21.0,28.0,90.0,92.0,77.0,51.0,20.0,41.0,76.0,70.0,38.0
