Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,Percentile_% of Aerials Won,Percentile_% of Dribblers Tackled,Percentile_Aerials Lost,Percentile_Aerials Won,Percentile_Assists,Percentile_Average Shot Distance,Percentile_Ball Recoveries,Percentile_Blocks,Percentile_Carries,Percentile_Carries into Final Third,Percentile_Carries into Penalty Area,Percentile_Challenges Lost,Percentile_Clearances,Percentile_Corner Kicks,Percentile_Crosses,Percentile_Crosses into Penalty Area,Percentile_Dead-ball Passes,Percentile_Dispossessed,Percentile_Dribblers Tackled,Percentile_Dribbles Challenged,Percentile_Errors,Percentile_Fouls Committed,Percentile_Fouls Drawn,Percentile_GCA (Dead-ball Pass),Percentile_GCA (Defensive Action),Percentile_GCA (Fouls Drawn),Percentile_GCA (Live-ball Pass),Percentile_GCA (Shot),Percentile_GCA (Take-On),Percentile_Goal-Creating Actions,Percentile_Goals,Percentile_Goals + Assists,Percentile_Goals - xG,Percentile_Goals/Shot,Percentile_Goals/Shot on Target,Percentile_Inswinging Corner Kicks,Percentile_Interceptions,Percentile_Key Passes,Percentile_Live-ball Passes,Percentile_Miscontrols,Percentile_Non-Penalty Goals,Percentile_Non-Penalty Goals - npxG,Percentile_Offsides,Percentile_Outswinging Corner Kicks,Percentile_Own Goals,Percentile_Pass Completion %,Percentile_Pass Completion % (Long),Percentile_Pass Completion % (Medium),Percentile_Pass Completion % (Short),Percentile_Passes Attempted,Percentile_Passes Attempted (Long),Percentile_Passes Attempted (Medium),Percentile_Passes Attempted (Short),Percentile_Passes Blocked,Percentile_Passes Completed,Percentile_Passes Completed (Long),Percentile_Passes Completed (Medium),Percentile_Passes Completed (Short),Percentile_Passes Offside,Percentile_Passes Received,Percentile_Passes from Free Kicks,Percentile_Passes into Final Third,Percentile_Passes into Penalty Area,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Conceded,Percentile_Penalty Kicks Made,Percentile_Penalty Kicks Won,Percentile_Progressive Carries,Percentile_Progressive Carrying Distance,Percentile_Progressive Passes,Percentile_Progressive Passes Rec,Percentile_Progressive Passing Distance,Percentile_Red Cards,Percentile_SCA (Dead-ball Pass),Percentile_SCA (Defensive Action),Percentile_SCA (Fouls Drawn),Percentile_SCA (Live-ball Pass),Percentile_SCA (Shot),Percentile_SCA (Take-On),Percentile_Second Yellow Card,Percentile_Shot-Creating Actions,Percentile_Shots Blocked,Percentile_Shots Total,Percentile_Shots from Free Kicks,Percentile_Shots on Target,Percentile_Shots on Target %,Percentile_Straight Corner Kicks,Percentile_Successful Take-On %,Percentile_Successful Take-Ons,Percentile_Switches,Percentile_Tackled During Take-On Percentage,Percentile_Tackles,Percentile_Tackles (Att 3rd),Percentile_Tackles (Def 3rd),Percentile_Tackles (Mid 3rd),Percentile_Tackles Won,Percentile_Take-Ons Attempted,Percentile_Through Balls,Percentile_Throw-ins Taken,Percentile_Times Tackled During Take-On,Percentile_Tkl+Int,Percentile_Total Carrying Distance,Percentile_Total Passing Distance,Percentile_Touches,Percentile_Touches (Att 3rd),Percentile_Touches (Att Pen),Percentile_Touches (Def 3rd),Percentile_Touches (Def Pen),Percentile_Touches (Live-Ball),Percentile_Touches (Mid 3rd),Percentile_Yellow Cards,Percentile_npxG + xAG,Percentile_npxG/Shot,Percentile_npxG: Non-Penalty xG,Percentile_xA: Expected Assists,Percentile_xAG: Exp. Assisted Goals,Percentile_xG: Expected Goals
Abde Ezzalzouli,Att Mid / Wingers,384,2023-2024 Europa League,100.0,60.0,0.0,0.23,0.0,16.1,4.69,0.94,31.88,2.34,4.45,0.47,0.23,1.88,4.45,0.23,4.22,1.41,0.7,1.17,0.0,0.94,1.88,0.0,0.0,0.0,0.47,0.0,0.0,0.47,0.23,0.23,0.05,0.13,0.25,0.0,0.23,0.94,34.45,3.75,0.23,0.05,0.0,1.41,0.0,72.1,36.4,69.2,89.0,38.67,2.58,9.14,19.22,1.525,27.89,0.94,6.33,17.11,0.0,38.44,0.94,1.88,0.47,0.0,0.0,0.0,0.0,5.39,140.39,1.88,8.44,71.95,0.0,0.23,0.23,0.0,2.34,0.0,0.47,0.0,3.28,0.0,1.88,0.0,0.94,50.0,0.0,47.1,3.75,0.23,47.1,1.41,0.23,0.23,0.94,0.47,7.97,0.0,1.41,3.75,1.64,280.31,340.08,53.67,30.23,5.86,3.05,0.23,53.67,21.8,0.0,0.33,0.1,0.19,0.12,0.14,0.19,97.0,83.0,97.0,27.0,23.0,64.0,58.0,45.0,49.0,63.0,99.0,76.0,35.0,81.0,81.0,57.0,76.0,48.0,69.0,39.0,54.0,56.0,72.0,43.0,48.0,44.0,84.0,38.0,42.0,67.0,54.0,28.0,62.0,62.0,48.0,26.0,26.0,17.0,57.0,10.0,57.0,61.0,82.0,92.0,50.0,29.0,14.0,19.0,73.0,62.0,38.0,26.0,65.0,30.5,56.0,23.0,23.0,69.0,79.0,65.0,79.0,44.0,12.0,44.0,51.0,45.0,43.0,93.0,91.0,11.0,71.0,21.0,51.0,64.0,93.0,24.0,46.0,13.0,77.0,50.0,44.0,37.0,35.0,40.0,61.0,83.0,49.0,64.0,96.0,61.0,61.0,55.0,44.0,34.0,86.0,27.0,99.0,17.0,83.0,2.0,46.0,87.0,33.0,71.0,87.0,85.0,22.0,25.0,71.0,59.0,78.0,36.0,49.0,46.0,32.0,39.0,41.0
Abde Ezzalzouli,Att Mid / Wingers,580,2021-2022 La Liga,30.0,62.5,1.09,0.47,0.0,16.5,4.5,0.47,33.21,3.26,3.72,0.47,0.0,0.16,2.33,0.16,0.62,1.86,0.78,1.24,0.0,2.64,2.33,0.0,0.0,0.0,0.16,0.16,0.0,0.31,0.16,0.16,-0.05,0.06,0.25,0.0,1.4,0.93,28.24,3.57,0.16,-0.05,0.31,0.0,0.0,71.0,63.6,55.8,83.8,28.86,1.71,6.67,16.29,0.855,20.48,1.09,3.72,13.66,0.0,33.36,0.0,0.62,0.62,0.0,0.0,0.0,0.0,7.29,185.28,1.24,11.79,34.6,0.0,0.0,0.0,0.16,1.4,0.16,0.93,0.0,2.64,0.0,2.48,0.0,0.62,25.0,0.0,57.6,5.28,0.16,42.4,2.64,0.47,1.4,0.78,1.4,9.16,0.0,0.47,3.88,4.03,315.0,249.98,46.86,29.95,8.07,6.52,0.16,46.86,11.95,0.62,0.34,0.08,0.2,0.17,0.14,0.2,34.0,99.0,56.0,23.0,11.0,67.0,44.0,12.0,60.0,88.0,99.0,95.0,2.0,27.0,45.0,34.0,8.0,29.0,81.0,29.0,58.0,5.0,75.0,32.0,41.0,35.0,42.0,95.0,26.0,47.0,49.0,23.0,32.0,41.0,51.0,20.0,97.0,21.0,29.0,8.0,53.0,31.0,53.0,17.0,51.0,32.0,79.0,1.0,31.0,25.0,10.0,6.0,38.0,15.5,25.0,16.0,1.0,38.0,97.0,38.0,3.0,1.0,12.0,41.0,56.0,42.0,40.0,95.0,95.0,3.0,92.0,1.0,58.0,11.0,23.0,43.0,18.0,49.0,99.0,54.0,32.0,16.0,79.0,31.0,53.0,28.0,42.0,55.0,99.0,25.0,55.0,95.0,94.0,97.0,81.0,95.0,99.0,10.0,55.0,1.0,97.0,95.0,10.0,38.0,86.0,99.0,60.0,5.0,38.0,1.0,3.0,58.0,49.0,71.0,71.0,47.0,68.0
Abde Ezzalzouli,Att Mid / Wingers,933,2023-2024 La Liga,49.0,26.7,2.41,2.32,0.0,17.9,4.44,1.06,32.89,3.57,3.76,1.06,0.48,0.39,3.86,0.19,1.54,3.18,0.39,1.45,0.0,0.96,1.83,0.1,0.0,0.0,0.1,0.0,0.0,0.19,0.1,0.1,-0.21,0.03,0.11,0.19,0.48,0.58,35.88,3.18,0.1,-0.14,0.39,0.1,0.0,65.4,28.6,64.7,78.0,37.62,2.03,8.2,21.9,1.545,24.6,0.58,5.31,17.07,0.19,40.51,0.29,1.06,1.06,0.1,0.0,0.0,0.0,6.17,166.88,2.51,9.74,82.19,0.0,0.1,0.0,0.29,1.35,0.1,0.29,0.0,2.12,0.0,3.57,0.0,0.87,24.3,0.0,42.6,2.22,0.19,46.3,1.74,0.58,0.68,0.48,1.45,5.21,0.29,0.87,2.41,2.22,299.32,295.76,55.18,29.9,6.46,5.79,0.68,55.08,19.97,0.1,0.27,0.07,0.23,0.05,0.04,0.31,81.0,16.0,2.0,98.0,9.0,43.0,54.0,65.0,65.0,99.0,99.0,31.0,44.0,43.0,57.0,37.0,38.0,2.0,26.0,51.0,57.0,60.0,59.0,92.0,46.0,34.0,20.0,28.0,28.0,26.0,19.0,5.0,2.0,16.0,19.0,51.0,50.0,1.0,65.0,11.0,26.0,4.0,37.0,47.0,51.0,19.0,2.0,13.0,11.0,60.0,20.0,19.0,75.0,36.5,47.0,8.0,16.0,65.0,56.0,71.0,43.0,28.0,37.0,87.0,55.0,39.0,37.0,99.0,98.0,32.0,83.0,34.0,60.0,41.0,25.0,76.0,8.0,20.0,57.0,54.0,10.0,16.0,98.0,25.0,65.0,14.0,46.0,51.0,78.0,54.0,52.0,75.0,99.0,81.0,43.0,95.0,83.0,72.0,84.0,14.0,71.0,95.0,23.0,72.0,87.0,99.0,66.0,49.0,72.0,51.0,75.0,25.0,28.0,63.0,1.0,1.0,77.0
Abde Ezzalzouli,Att Mid / Wingers,1504,2022-2023 La Liga,15.0,56.5,1.02,0.18,0.12,19.1,4.25,1.2,33.21,3.59,2.69,0.6,0.36,0.42,4.55,0.54,1.56,2.27,0.78,1.38,0.0,1.62,2.03,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.24,0.36,0.08,0.1,0.25,0.06,0.24,0.72,30.88,3.83,0.24,0.08,0.12,0.12,0.0,66.5,47.1,65.2,82.8,32.85,3.05,9.81,16.04,1.585,21.84,1.44,6.4,13.28,0.42,36.26,0.18,0.78,1.44,0.0,0.0,0.0,0.0,5.57,151.46,2.63,8.14,76.95,0.12,0.3,0.06,0.18,1.62,0.24,1.08,0.06,3.47,0.0,2.39,0.12,0.96,40.0,0.0,50.4,3.53,0.3,35.9,1.74,0.24,0.78,0.72,1.14,7.0,0.18,0.96,2.51,1.97,278.32,313.68,48.65,28.3,3.95,4.37,0.24,48.65,17.17,0.24,0.28,0.07,0.16,0.23,0.11,0.16,6.0,96.0,55.0,9.0,40.0,31.0,31.0,67.0,55.0,96.0,92.0,87.0,40.0,45.0,74.0,82.0,42.0,8.0,75.0,40.0,58.0,21.0,70.0,39.0,47.0,30.0,62.0,27.0,25.0,28.0,62.0,58.0,92.0,63.0,45.0,38.0,16.0,8.0,42.0,1.0,65.0,92.0,89.0,57.0,50.0,17.0,35.0,11.0,25.0,40.0,43.0,38.0,38.0,43.5,35.0,38.0,28.0,35.0,16.0,53.0,31.0,9.0,74.0,36.0,53.0,39.0,33.0,94.0,94.0,28.0,72.0,28.0,1.0,60.0,55.0,55.0,14.0,69.0,99.0,1.0,57.0,19.0,70.0,74.0,75.0,76.0,41.0,84.0,97.0,64.0,86.0,77.0,30.0,86.0,75.0,82.0,94.0,57.0,87.0,18.0,58.0,94.0,28.0,47.0,72.0,62.0,28.0,14.0,48.0,35.0,45.0,26.0,21.0,42.0,84.0,30.0,36.0
Abde Ezzalzouli,Att Mid / Wingers,1523,2024-2025 La Liga,39.6,55.0,1.71,1.12,0.06,15.8,4.85,1.0,32.27,3.72,2.6,0.53,0.65,0.06,2.36,0.12,1.12,2.25,0.65,1.18,0.0,1.06,1.77,0.0,0.0,0.0,0.12,0.06,0.0,0.18,0.06,0.12,-0.35,0.02,0.06,0.0,0.3,1.24,33.8,2.9,0.06,-0.31,0.18,0.0,0.0,70.3,31.0,69.5,80.8,35.04,1.71,8.92,20.98,1.125,24.64,0.53,6.2,16.96,0.12,36.7,0.18,1.89,0.89,0.06,0.0,0.0,0.06,5.73,144.54,3.25,9.69,92.07,0.0,0.0,0.06,0.18,1.89,0.35,0.47,0.0,2.95,0.18,2.78,0.06,0.95,34.0,0.0,48.3,2.48,0.18,36.8,1.83,0.18,0.77,0.89,1.24,5.14,0.12,0.89,1.89,2.13,245.12,309.18,49.93,27.24,7.09,5.32,0.47,49.88,19.03,0.12,0.46,0.13,0.37,0.09,0.1,0.41,61.0,86.0,12.0,90.0,21.0,74.0,88.0,61.0,72.0,95.0,94.0,83.0,50.0,26.0,37.0,17.0,28.0,12.0,55.0,34.0,66.0,55.0,65.0,37.0,46.0,35.0,12.0,77.0,32.0,10.0,8.0,12.0,1.0,10.0,10.0,19.0,23.0,35.0,59.0,19.0,10.0,1.0,70.0,22.0,50.0,32.0,6.0,15.0,25.0,55.0,14.0,15.0,70.0,40.0,45.0,3.0,14.0,66.0,75.0,63.0,30.0,46.0,30.0,83.0,54.0,41.0,79.0,92.0,92.0,45.0,81.0,34.0,58.0,16.0,61.0,55.0,37.0,85.0,72.0,52.0,41.0,92.0,85.0,72.0,75.0,43.0,46.0,74.0,85.0,50.0,86.0,74.0,26.0,74.0,83.0,81.0,83.0,30.0,83.0,32.0,61.0,86.0,23.0,57.0,77.0,95.0,46.0,37.0,57.0,43.0,57.0,70.0,78.0,88.0,19.0,15.0,85.0
Abde Ezzalzouli,Att Mid / Wingers,1712,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",44.1,47.8,2.0,1.58,0.05,16.2,4.89,1.0,31.91,3.52,2.79,0.63,0.68,0.05,2.26,0.11,1.1,2.58,0.58,1.21,0.0,1.1,1.84,0.0,0.0,0.0,0.11,0.05,0.0,0.16,0.05,0.11,-0.42,0.02,0.05,0.0,0.32,1.21,34.33,3.05,0.05,-0.34,0.26,0.0,0.0,69.8,32.4,69.8,81.2,35.64,1.79,8.52,21.29,1.21,24.87,0.58,5.94,17.3,0.21,37.38,0.21,1.84,0.89,0.11,0.0,0.0,0.05,5.63,140.52,3.15,9.73,91.1,0.0,0.0,0.05,0.26,1.84,0.32,0.42,0.0,2.89,0.16,3.0,0.05,1.05,35.1,0.0,45.8,2.31,0.16,39.6,1.95,0.26,0.89,0.79,1.31,5.05,0.11,0.84,2.0,2.26,241.93,308.74,51.41,27.76,7.2,5.41,0.53,51.31,19.77,0.11,0.48,0.13,0.39,0.09,0.09,0.47,72.0,79.0,7.0,94.0,9.0,74.0,85.0,67.0,54.0,96.0,93.0,72.0,63.0,19.0,30.0,9.0,24.0,2.0,61.0,39.0,74.0,38.0,71.0,32.0,41.0,24.0,4.0,69.0,18.0,3.0,2.0,1.0,1.0,2.0,2.0,12.0,28.0,18.0,55.0,7.0,2.0,1.0,46.0,16.0,50.0,14.0,2.0,8.0,13.0,47.0,11.0,13.0,73.0,37.5,33.0,2.0,6.0,65.0,45.0,55.0,38.0,44.0,11.0,89.0,56.0,34.0,80.0,93.0,87.0,31.0,75.0,29.0,56.0,9.0,60.0,74.0,13.0,74.0,65.0,54.0,15.0,91.0,80.0,58.0,73.0,43.0,43.0,63.0,79.0,37.0,91.0,91.0,38.0,94.0,85.0,94.0,80.0,18.0,82.0,38.0,80.0,78.0,16.0,58.0,71.0,93.0,53.0,35.0,58.0,54.0,61.0,61.0,81.0,91.0,7.0,10.0,93.0
Abdel Abqar,Center Backs,2028,2024-2025 La Liga,53.0,61.5,1.38,1.55,0.04,7.5,3.24,0.89,24.72,0.31,0.0,0.44,5.19,0.0,0.22,0.09,1.86,0.09,0.71,1.15,0.04,1.91,1.15,0.0,0.0,0.04,0.09,0.0,0.0,0.13,0.0,0.04,-0.04,0.0,0.0,0.0,1.55,0.31,34.97,0.62,0.0,-0.04,0.09,0.0,0.0,76.2,42.4,91.6,93.6,36.97,10.25,18.02,7.63,0.245,28.18,4.35,16.51,7.15,0.13,25.56,1.6,2.57,0.4,0.0,0.09,0.0,0.04,0.67,83.57,3.33,0.18,224.02,0.0,0.0,0.09,0.04,0.8,0.09,0.0,0.0,1.02,0.58,0.4,0.0,0.04,11.1,0.0,66.7,0.09,0.75,33.3,1.29,0.04,0.8,0.44,0.84,0.13,0.04,0.22,0.04,2.84,146.36,622.86,48.06,2.26,0.89,25.07,5.95,48.06,21.17,0.53,0.04,0.08,0.04,0.02,0.01,0.04,29.0,36.0,50.0,27.0,77.0,95.0,47.0,24.0,13.0,47.0,35.0,42.0,68.0,48.0,72.0,86.0,20.0,58.0,55.0,58.0,53.0,2.0,94.0,49.0,49.0,91.0,72.0,44.0,49.0,79.0,32.0,55.0,25.0,33.0,33.0,49.0,90.0,76.0,10.0,25.0,33.0,27.0,18.0,49.0,57.0,6.0,8.0,36.0,60.0,9.0,83.0,8.0,3.0,53.5,8.0,53.0,9.0,5.0,50.0,9.0,45.0,53.0,90.0,49.0,12.0,49.0,91.0,57.0,38.0,65.0,55.0,8.0,60.0,39.0,92.0,80.0,80.0,80.0,45.0,54.0,82.0,39.0,46.0,44.0,29.0,28.0,50.0,55.0,36.0,80.0,42.0,45.0,53.0,39.0,60.0,51.0,34.0,61.0,57.0,51.0,75.0,32.0,12.0,6.0,61.0,73.0,12.0,24.0,6.0,17.0,3.0,42.0,55.0,50.0,51.0,42.0,50.0
Abdel Abqar,Center Backs,2312,2023-2024 La Liga,52.0,60.0,1.4,1.52,0.0,12.1,4.24,1.21,19.15,0.23,0.0,0.55,4.48,0.0,0.08,0.0,2.14,0.04,0.82,1.36,0.0,1.28,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.9,0.12,27.4,0.58,0.0,-0.02,0.04,0.0,0.04,72.6,44.0,89.1,86.0,29.66,8.76,13.2,6.38,0.29000000000000004,21.53,3.85,11.76,5.49,0.12,19.42,1.95,2.37,0.08,0.0,0.08,0.0,0.0,0.27,55.2,1.91,0.04,189.65,0.0,0.0,0.0,0.04,0.35,0.08,0.0,0.0,0.47,1.01,0.39,0.0,0.12,30.0,0.0,60.0,0.12,0.66,20.0,1.36,0.08,1.09,0.19,0.74,0.19,0.0,0.16,0.04,2.26,95.76,481.53,40.17,1.63,0.82,22.19,7.44,40.17,16.43,0.39,0.02,0.05,0.02,0.01,0.01,0.02,25.0,40.0,46.0,28.0,30.0,63.0,40.0,61.0,6.0,31.0,30.0,33.0,67.0,47.0,37.0,27.0,34.0,86.0,54.0,61.0,74.0,26.0,84.0,47.0,49.0,48.0,19.0,40.0,49.0,16.0,25.0,15.0,35.0,25.0,25.0,48.0,39.0,19.0,1.0,26.0,25.0,35.0,35.0,48.0,8.0,7.0,13.0,33.0,12.0,1.0,75.0,1.0,1.0,25.0,1.0,48.0,1.0,1.0,61.0,3.0,69.0,35.0,29.0,50.0,7.0,50.0,48.0,20.0,13.0,12.0,15.0,4.0,61.0,31.0,37.0,92.0,15.0,70.0,38.0,55.0,17.0,88.0,41.0,43.0,47.0,62.0,50.0,57.0,40.0,75.0,67.0,49.0,65.0,69.0,11.0,35.0,35.0,25.0,49.0,69.0,47.0,6.0,1.0,3.0,24.0,58.0,15.0,54.0,3.0,2.0,17.0,13.0,24.0,22.0,18.0,28.0,22.0
Abdel Abqar,Center Backs,2816,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",48.9,65.0,1.44,1.37,0.03,8.3,3.32,1.09,22.66,0.29,0.0,0.45,4.86,0.0,0.19,0.06,2.01,0.06,0.83,1.28,0.03,1.63,1.02,0.0,0.0,0.03,0.06,0.0,0.0,0.1,0.0,0.03,-0.03,0.0,0.0,0.0,1.37,0.29,31.99,0.67,0.0,-0.03,0.06,0.0,0.0,75.0,40.8,91.2,93.1,34.13,9.78,16.36,6.9,0.24,25.6,4.0,14.93,6.42,0.13,23.43,1.79,2.43,0.32,0.0,0.06,0.0,0.03,0.58,72.45,2.68,0.16,199.43,0.0,0.0,0.06,0.03,0.67,0.06,0.0,0.0,0.83,0.83,0.35,0.0,0.06,18.2,0.0,50.0,0.06,0.67,50.0,1.41,0.03,0.99,0.38,0.93,0.13,0.03,0.19,0.06,2.78,130.01,566.08,45.1,2.01,0.77,24.13,6.23,45.1,19.27,0.51,0.04,0.08,0.03,0.02,0.01,0.03,11.0,57.0,46.0,14.0,65.0,93.0,25.0,28.0,4.0,29.0,26.0,50.0,70.0,48.0,59.0,75.0,26.0,82.0,60.0,57.0,75.0,4.0,89.0,48.0,48.0,93.0,53.0,36.0,49.0,60.0,18.0,26.0,27.0,19.0,19.0,49.0,76.0,63.0,2.0,20.0,19.0,27.0,22.0,49.0,62.0,1.0,1.0,30.0,59.0,1.0,87.0,1.0,1.0,41.0,1.0,43.0,1.0,1.0,42.0,1.0,61.0,25.0,76.0,49.0,12.0,49.0,92.0,49.0,22.0,29.0,33.0,3.0,62.0,32.0,92.0,74.0,51.0,54.0,36.0,55.0,53.0,65.0,27.0,46.0,23.0,24.0,50.0,34.0,17.0,88.0,18.0,42.0,20.0,59.0,27.0,56.0,19.0,48.0,44.0,64.0,61.0,12.0,2.0,2.0,24.0,43.0,6.0,14.0,2.0,2.0,1.0,18.0,42.0,27.0,26.0,25.0,26.0
Abderrahman Rebbach,Att Mid / Wingers,492,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",20.0,0.0,2.2,0.55,0.0,20.8,3.48,0.73,25.24,1.83,2.01,1.28,1.46,2.38,5.12,0.73,3.48,0.91,0.0,1.28,0.0,1.28,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,1.1,0.0,1.83,25.24,2.93,0.0,-0.04,0.55,0.37,0.0,62.7,50.0,64.6,72.4,28.9,4.39,8.78,13.9,0.915,18.11,2.2,5.67,10.06,0.18,25.98,0.18,0.91,1.1,0.0,0.0,0.0,0.0,4.21,97.87,1.1,9.33,77.38,0.0,0.0,0.0,0.0,2.38,0.37,0.18,0.0,2.93,0.0,1.46,0.0,0.18,12.5,0.18,25.0,1.1,0.18,62.5,0.73,0.0,0.73,0.0,0.55,4.39,0.0,0.91,2.74,0.73,189.51,302.93,42.99,21.95,4.57,6.4,0.91,42.99,15.0,0.18,0.16,0.03,0.04,0.15,0.13,0.04,12.0,1.0,7.0,57.0,1.0,11.0,27.0,31.0,20.0,29.0,76.0,8.0,99.0,78.0,82.0,96.0,66.0,90.0,1.0,44.0,74.0,26.0,59.0,32.0,41.0,24.0,1.0,21.0,18.0,1.0,1.0,1.0,18.0,1.0,1.0,77.0,1.0,56.0,8.0,13.0,1.0,19.0,8.0,68.0,50.0,1.0,40.0,1.0,1.0,14.0,64.0,17.0,15.0,49.5,6.0,61.0,4.0,8.0,53.0,8.0,34.0,7.0,23.0,32.0,56.0,34.0,28.0,69.0,45.0,1.0,72.0,19.0,57.0,9.0,14.0,1.0,35.0,84.0,28.0,54.0,17.0,14.0,8.0,23.0,1.0,1.0,99.0,1.0,26.0,47.0,2.0,13.0,1.0,88.0,1.0,27.0,64.0,1.0,86.0,10.0,1.0,37.0,14.0,23.0,28.0,60.0,72.0,64.0,23.0,19.0,31.0,1.0,1.0,1.0,33.0,21.0,1.0
