Player,age,player_market_value_euro,season_start_year
Paulo Dybala,26,72000000.0,2019
Christian Eriksen,28,68000000.0,2019
Romelu Lukaku,27,68000000.0,2019
Matthijs de Ligt,20,67500000.0,2019
Lautaro Martínez,22,64000000.0,2019
Sergej Milinković-Savić,25,64000000.0,2019
Cristiano Ronaldo,35,60000000.0,2019
Kalidou Koulibaly,29,56000000.0,2019
Miralem Pjanić,30,52000000.0,2019
Gianluigi Donnarumma,21,49500000.0,2019
Fabián Ruiz,24,48000000.0,2019
Federico Chiesa,22,48000000.0,2019
Lorenzo Insigne,29,48000000.0,2019
Marcelo Brozović,27,48000000.0,2019
Milan Škriniar,25,48000000.0,2019
Stefan de Vrij,28,48000000.0,2019
Nicolò Zaniolo,20,45000000.0,2019
Luis Alberto,27,44000000.0,2019
Alex Sandro,29,40000000.0,2019
Ciro Immobile,30,40000000.0,2019
Rodrigo Bentancur,23,40000000.0,2019
Alessio Romagnoli,25,36000000.0,2019
Duván Zapata,29,36000000.0,2019
Nicolò Barella,23,36000000.0,2019
Allan,29,32000000.0,2019
Andrea Belotti,26,32000000.0,2019
Arkadiusz Milik,26,32000000.0,2019
Konstantinos Manolas,29,32000000.0,2019
Lorenzo Pellegrini,24,32000000.0,2019
Piotr Zieliński,26,32000000.0,2019
Theo Hernández,22,32000000.0,2019
Wojciech Szczesny,30,32000000.0,2019
Alessandro Bastoni,21,31500000.0,2019
Dejan Kulusevski,20,31500000.0,2019
Sandro Tonali,20,31500000.0,2019
Joaquín Correa,25,30500000.0,2019
Aaron Ramsey,29,28000000.0,2019
Alex Meret,23,28000000.0,2019
Federico Bernardeschi,26,28000000.0,2019
Hirving Lozano,24,28000000.0,2019
Merih Demiral,22,27000000.0,2019
Adrien Rabiot,25,25500000.0,2019
Gonzalo Higuaín,32,25500000.0,2019
Ante Rebić,26,24000000.0,2019
Cengiz Ünder,22,24000000.0,2019
Douglas Costa,29,24000000.0,2019
Emre Can,26,24000000.0,2019
Nikola Milenković,22,24000000.0,2019
Stefano Sensi,24,24000000.0,2019
Gianluca Mancini,24,22500000.0,2019
Justin Kluivert,21,22500000.0,2019
Lucas Paquetá,22,22500000.0,2019
Marash Kumbulla,20,22500000.0,2019
Matteo Politano,26,22500000.0,2019
