Player,Versus,BasedOnMinutes,scouting_period,Per90_Average Pass Length,Per90_Avg. Distance of Def. Actions,Per90_Avg. Length of Goal Kicks,Per90_Clean Sheet Percentage,Per90_Clean Sheets,Per90_Corner Kick Goals Against,Per90_Crosses Faced,Per90_Crosses Stopped,Per90_Crosses Stopped %,Per90_Def. Actions Outside Pen. Area,Per90_Draws,Per90_Free Kick Goals Against,Per90_Goal Kicks,Per90_Goals Against,Per90_Launch %,Per90_Launch% (Goal Kicks),Per90_Losses,Per90_Own Goals Scored Against Goalkeeper,Per90_PSxG-GA,Per90_PSxG/SoT,Per90_Pass Completion Percentage (Launched),Per90_Passes Attempted (GK),Per90_Passes Attempted (Launched),Per90_Passes Completed (Launched),Per90_Penalty Kicks Allowed,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Missed,Per90_Penalty Kicks Saved,Per90_Post-Shot Expected Goals,Per90_Save Percentage,Per90_Save% (Penalty Kicks),Per90_Saves,Per90_Shots on Target Against,Per90_Throws Attempted,Per90_Wins,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
Aaron Ramsdale,Goalkeepers,300,2022-2023 Europa League,38.2,17.5,65.0,33.3,0.33,0.33,8.33,0.67,8.0,2.33,0.33,0.0,6.33,1.0,45.3,84.2,0.33,0.0,-0.03,0.32,32.7,28.67,18.33,6.0,0.0,0.0,0.0,0.0,0.97,66.7,,2.0,3.0,4.33,0.33,75.0,87.0,99.0,57.0,57.0,23.0,13.0,63.0,81.0,93.0,77.0,55.0,25.0,71.0,75.0,95.0,39.0,64.0,43.0,76.0,43.0,59.0,83.0,77.0,77.0,21.0,49.0,46.0,79.0,28.0,,13.0,16.0,48.0,45.0
Aaron Ramsdale,Goalkeepers,540,2023-2024 Premier League,33.3,14.6,41.4,33.3,0.33,0.17,7.67,1.33,17.4,1.5,0.17,0.0,3.17,0.83,34.9,52.6,0.0,0.0,-0.22,0.26,27.5,28.17,11.5,3.17,0.0,0.0,0.0,0.0,0.62,64.3,,1.5,2.33,5.0,0.83,58.0,48.0,38.0,83.0,86.0,63.0,2.0,86.0,98.0,61.0,27.0,64.0,11.0,95.0,58.0,33.0,5.0,86.0,23.0,20.0,14.0,42.0,42.0,27.0,92.0,6.0,45.0,41.0,98.0,23.0,,5.0,5.0,63.0,98.0
Aaron Ramsdale,Goalkeepers,1260,2024-2025 Premier League,33.5,12.2,45.3,14.3,0.14,0.5,13.57,1.0,7.4,0.79,0.14,0.0,5.0,2.14,38.8,60.0,0.79,0.0,-0.05,0.32,33.1,38.5,17.93,5.93,0.14,0.14,0.0,0.0,2.09,68.9,0.0,4.29,6.43,5.0,0.07,63.0,23.0,64.0,23.0,25.0,5.0,52.0,57.0,66.0,13.0,14.0,63.0,41.0,18.0,70.0,59.0,91.0,70.0,30.0,68.0,34.0,95.0,88.0,70.0,32.0,66.0,50.0,38.0,9.0,41.0,38.0,95.0,98.0,77.0,9.0
Aaron Ramsdale,Goalkeepers,1350,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",34.4,11.4,44.8,13.3,0.13,0.47,13.4,1.27,9.5,0.73,0.13,0.0,4.73,2.07,40.5,59.2,0.73,0.0,-0.02,0.32,32.4,38.33,18.33,5.93,0.13,0.13,0.0,0.0,2.05,69.1,0.0,4.2,6.27,5.0,0.13,62.0,14.0,56.0,17.0,17.0,1.0,45.0,84.0,92.0,24.0,10.0,70.0,25.0,8.0,72.0,59.0,99.0,84.0,44.0,84.0,28.0,94.0,85.0,79.0,35.0,44.0,40.0,27.0,1.0,39.0,27.0,98.0,98.0,81.0,5.0
Aaron Ramsdale,Goalkeepers,3060,2021-2022 Premier League,33.2,16.4,55.1,35.3,0.35,0.09,12.18,0.76,6.3,1.76,0.09,0.0,5.32,1.15,34.8,74.0,0.29,0.03,0.01,0.26,27.9,29.21,14.12,3.94,0.15,0.18,0.03,0.0,1.12,73.4,0.0,2.65,3.76,4.76,0.62,37.0,79.0,79.0,79.0,79.0,83.0,17.0,52.0,56.0,90.0,6.0,77.0,13.0,67.0,40.0,79.0,25.0,50.0,87.0,37.0,10.0,75.0,48.0,37.0,33.0,73.0,90.0,37.0,71.0,75.0,37.0,33.0,21.0,63.0,90.0
Aaron Ramsdale,Goalkeepers,3330,2019-2020 Premier League,39.2,11.6,53.5,13.5,0.14,0.11,15.97,0.54,3.4,0.68,0.19,0.11,7.78,1.68,48.2,69.8,0.57,0.0,-0.04,0.3,30.1,22.78,16.41,4.95,0.14,0.16,0.0,0.03,1.64,69.5,16.7,3.35,5.05,5.0,0.24,59.0,14.0,63.0,9.0,9.0,70.0,73.0,41.0,38.0,41.0,34.0,5.0,63.0,23.0,52.0,59.0,88.0,86.0,52.0,66.0,23.0,41.0,48.0,45.0,27.0,73.0,45.0,63.0,20.0,45.0,55.0,73.0,77.0,73.0,23.0
Aaron Ramsdale,Goalkeepers,3420,2020-2021 Premier League,45.5,12.8,64.5,13.2,0.13,0.21,15.21,0.87,5.7,0.89,0.05,0.0,7.39,1.66,64.5,91.8,0.76,0.08,-0.15,0.26,32.2,22.79,21.5,6.92,0.08,0.11,0.03,0.0,1.43,70.9,0.0,3.82,5.42,3.37,0.18,94.0,33.0,98.0,2.0,2.0,25.0,63.0,90.0,71.0,54.0,6.0,71.0,63.0,17.0,90.0,98.0,98.0,23.0,23.0,48.0,17.0,40.0,90.0,83.0,75.0,27.0,79.0,27.0,13.0,40.0,27.0,90.0,94.0,6.0,10.0
Aaron Ramsdale,Goalkeepers,3420,2022-2023 Premier League,33.3,16.1,49.2,36.8,0.37,0.16,10.03,0.58,5.8,1.13,0.16,0.0,4.03,1.13,35.4,59.5,0.16,0.03,-0.05,0.28,25.4,25.16,11.29,2.87,0.08,0.13,0.05,0.0,1.05,70.6,0.0,2.47,3.58,4.58,0.68,63.0,80.0,84.0,84.0,84.0,68.0,13.0,23.0,36.0,38.0,21.0,75.0,5.0,82.0,55.0,63.0,9.0,79.0,55.0,41.0,13.0,41.0,41.0,20.0,52.0,48.0,95.0,25.0,84.0,59.0,25.0,27.0,13.0,48.0,95.0
Adrián,Goalkeepers,300,2019-2020 Champions League,31.9,14.8,34.1,0.0,0.0,0.0,8.33,0.67,8.0,0.67,0.0,0.0,5.0,2.67,32.1,33.3,0.67,0.0,-0.57,0.34,56.3,28.0,10.67,6.0,0.33,0.33,0.0,0.0,2.1,56.3,0.0,2.67,5.33,5.0,0.33,33.0,60.0,26.0,15.0,15.0,70.0,16.0,68.0,94.0,51.0,15.0,51.0,6.0,13.0,45.0,24.0,74.0,60.0,6.0,66.0,94.0,68.0,37.0,67.0,18.0,77.0,45.0,44.0,22.0,21.0,44.0,35.0,59.0,55.0,45.0
Adrián,Goalkeepers,630,2024-2025 La Liga,32.2,13.0,34.7,28.6,0.29,0.29,13.43,0.71,5.3,0.71,0.14,0.0,4.86,1.43,29.8,32.4,0.29,0.0,-0.2,0.33,38.4,29.71,10.43,4.0,0.14,0.14,0.0,0.0,1.23,62.5,0.0,2.0,3.43,4.43,0.57,36.0,31.0,12.0,67.0,67.0,5.0,53.0,47.0,48.0,24.0,12.0,66.0,22.0,33.0,36.0,12.0,34.0,72.0,22.0,90.0,74.0,64.0,33.0,43.0,40.0,53.0,45.0,36.0,36.0,9.0,36.0,14.0,29.0,57.0,81.0
