"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","7","Jadon Sancho","Left Winger",2000-03-25,20,"England","Chelsea FC","1.8","right","2024-01-11","Manchester United",NA,1.17e+08
"2019","https://www.transfermarkt.com/kai-havertz/profil/spieler/309400","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","29","Kai Havertz","Centre-Forward",1999-06-11,21,"Germany","Arsenal FC","1.93","left","2016-07-01","Bayer 04 Leverkusen U17",NA,8.1e+07
"2019","https://www.transfermarkt.com/erling-haaland/profil/spieler/418560","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","17","Erling Haaland","Centre-Forward",2000-07-21,19,"Norway","Manchester City","1.95","left","2020-01-01","Red Bull Salzburg",NA,7.2e+07
"2019","https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471","Bundesliga","Europe","Germany",2019,"Bayern Munich","22","Serge Gnabry","Left Winger",1995-07-14,24,"Germany","Bayern Munich","1.76","right","2017-07-01","SV Werder Bremen",NA,7.2e+07
"2019","https://www.transfermarkt.com/joshua-kimmich/profil/spieler/161056","Bundesliga","Europe","Germany",2019,"Bayern Munich","32","Joshua Kimmich","Defensive Midfield",1995-02-08,25,"Germany","Bayern Munich","1.77","right","2015-07-02","VfB Stuttgart",NA,6.4e+07
"2019","https://www.transfermarkt.com/timo-werner/profil/spieler/170527","Bundesliga","Europe","Germany",2019,"RB Leipzig","11","Timo Werner","Left Winger",1996-03-06,24,"Germany","Tottenham Hotspur","1.8","right","2022-08-09","Chelsea FC",NA,6.4e+07
"2019","https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963","Bundesliga","Europe","Germany",2019,"Bayern Munich","21","Lucas Hernández","Left-Back",1996-02-14,24,"France","Paris Saint-Germain","1.84","left","2019-07-01","Atlético de Madrid",NA,5.6e+07
"2019","https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444","Bundesliga","Europe","Germany",2019,"Bayern Munich","10","Philippe Coutinho","Attacking Midfield",1992-06-12,28,"Brazil","Clube de Regatas Vasco da Gama","1.72","right","2019-08-19","FC Barcelona",NA,5.6e+07
"2019","https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253","Bundesliga","Europe","Germany",2019,"Bayern Munich","9","Robert Lewandowski","Centre-Forward",1988-08-21,31,"Poland","FC Barcelona","1.85","right","2014-07-01","Borussia Dortmund",NA,5.6e+07
"2019","https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","5","Achraf Hakimi","Right-Back",1998-11-04,21,"Morocco","Paris Saint-Germain","1.81","right","2018-07-11","Real Madrid",NA,5.4e+07
"2019","https://www.transfermarkt.com/david-alaba/profil/spieler/59016","Bundesliga","Europe","Germany",2019,"Bayern Munich","27","David Alaba","Centre-Back",1992-06-24,28,"Austria","Real Madrid","1.8","left","2010-07-01","FC Bayern Munich II",NA,5.2e+07
