Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals
Aaron Cresswell,Center Backs,3069,2017-2018 Premier League,54.8,63.3,1.38,1.67,0.21,28.7,4.37,1.23,25.51,1.41,0.03,0.32,3.43,1.96,5.75,0.29,10.59,0.59,0.56,0.88,0.03,0.59,0.44,0.09,0.0,0.0,0.18,0.0,0.0,0.26,0.03,0.23,0.01,0.05,0.17,1.26,1.29,1.0,39.47,0.76,0.03,0.01,0.09,0.41,0.0,69.9,40.0,76.0,89.5,50.53,11.96,18.83,17.39,1.115,35.31,4.78,14.31,15.57,0.47,31.55,2.4,3.96,0.62,0.0,0.0,0.0,0.0,1.03,57.45,3.75,1.82,274.05,0.0,0.7,0.0,0.09,1.06,0.06,0.03,0.0,1.94,0.5,0.62,0.23,0.18,28.6,0.06,35.7,0.15,0.67,64.3,1.0,0.06,0.35,0.59,0.62,0.41,0.09,6.22,0.26,2.29,118.24,660.35,59.68,14.57,0.44,16.77,3.52,59.68,28.8,0.21,0.11,0.04,0.02,0.07,0.09,0.02
Aaron Cresswell,Fullbacks,416,2023-2024 Europa League,50.0,66.7,1.3,1.3,0.0,15.5,2.16,0.43,40.46,1.51,0.0,0.22,2.16,1.08,2.6,0.22,7.79,0.43,0.43,0.65,0.22,0.43,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.22,0.22,0.19,1.0,1.0,0.0,0.43,0.43,51.49,0.22,0.22,0.19,0.0,1.08,0.0,84.0,50.0,88.2,94.3,59.5,6.92,23.8,26.39,0.865,49.98,3.46,20.99,24.88,0.22,45.43,0.65,4.11,0.43,0.0,0.0,0.0,0.0,1.3,78.97,4.33,3.25,275.84,0.0,0.43,0.0,0.0,1.3,0.0,0.0,0.0,1.73,0.0,0.22,0.0,0.22,100.0,0.0,0.0,0.0,0.0,100.0,0.87,0.0,0.43,0.43,0.65,0.22,0.0,6.06,0.22,1.3,159.88,808.7,66.63,15.79,0.65,18.82,2.6,66.63,32.02,0.22,0.06,0.13,0.02,0.09,0.04,0.02
Aaron Cresswell,Fullbacks,517,2022-2023 Europa Conference League,22.2,80.0,1.22,0.35,0.35,25.0,5.92,0.35,33.77,1.39,0.0,0.17,0.52,0.87,2.61,0.35,8.36,0.17,0.7,0.87,0.0,0.35,0.17,0.35,0.0,0.0,0.35,0.0,0.0,0.7,0.0,0.35,0.0,0.0,,0.17,1.57,1.04,59.01,0.0,0.0,0.0,0.0,0.7,0.0,88.1,60.5,92.3,93.8,67.37,7.49,26.98,30.99,0.5249999999999999,59.36,4.53,24.89,29.07,0.0,49.09,1.22,4.53,0.52,0.0,0.0,0.0,0.0,1.39,78.34,4.7,1.74,394.29,0.0,0.52,0.17,0.0,1.04,0.0,0.0,0.0,1.74,0.0,0.17,0.17,0.0,0.0,0.0,100.0,0.35,0.35,0.0,0.87,0.0,0.7,0.17,0.35,0.35,0.0,6.27,0.0,2.44,153.37,1000.62,72.24,12.53,0.35,20.89,2.44,72.24,38.99,0.35,0.1,0.03,0.0,0.1,0.1,0.0
Aaron Cresswell,Fullbacks,664,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",52.9,83.3,1.08,1.22,0.0,23.6,2.58,0.81,30.23,1.22,0.0,0.14,2.17,1.36,3.25,0.14,11.52,0.41,0.68,0.81,0.0,0.54,0.14,0.0,0.0,0.0,0.27,0.0,0.0,0.27,0.14,0.14,0.11,0.5,1.0,0.27,0.68,1.22,43.92,0.0,0.14,0.11,0.14,1.08,0.0,78.5,42.3,84.6,93.1,55.57,10.57,19.38,23.58,0.81,43.64,4.47,16.4,21.96,0.14,37.14,1.76,2.71,0.68,0.0,0.0,0.0,0.0,0.81,50.56,4.07,1.36,318.8,0.0,0.95,0.0,0.14,1.76,0.0,0.0,0.0,2.85,0.27,0.27,0.14,0.14,50.0,0.0,0.0,0.0,0.68,100.0,1.08,0.14,0.27,0.68,0.68,0.14,0.0,8.4,0.14,1.76,111.82,746.84,61.4,12.47,0.27,23.18,3.52,61.4,26.02,0.27,0.11,0.08,0.03,0.08,0.08,0.03
Aaron Cresswell,Fullbacks,696,2021-2022 Europa League,55.6,44.4,0.52,0.65,0.26,20.1,4.27,0.26,50.17,2.33,0.39,0.65,1.16,3.62,7.63,0.13,15.13,0.39,0.52,1.16,0.0,0.52,0.26,0.26,0.0,0.0,0.13,0.0,0.0,0.39,0.0,0.26,-0.01,0.0,,1.94,1.03,1.94,62.72,0.65,0.0,-0.01,0.0,1.42,0.0,79.5,43.3,84.8,93.3,78.1,12.54,27.16,34.66,0.8400000000000001,62.07,5.43,23.02,32.33,0.26,55.22,1.81,3.88,1.03,0.0,0.0,0.0,0.0,2.97,121.16,5.69,4.53,403.45,0.26,1.55,0.0,0.0,1.03,0.0,0.0,0.0,2.59,0.13,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.78,0.26,0.13,0.39,0.52,0.52,0.0,9.7,0.52,1.81,243.62,1032.03,83.66,27.28,1.29,20.43,2.2,83.66,36.47,0.13,0.31,0.06,0.01,0.3,0.3,0.01
Aaron Cresswell,Fullbacks,1589,2018-2019 Premier League,58.1,52.0,1.02,1.42,0.06,22.6,4.81,1.59,31.89,1.42,0.34,0.68,3.29,0.45,4.25,0.45,12.46,0.34,0.74,1.42,0.0,0.11,0.68,0.11,0.0,0.0,0.06,0.0,0.0,0.17,0.0,0.06,-0.03,0.0,,0.06,1.3,0.96,48.65,0.74,0.0,-0.03,0.06,0.34,0.0,78.4,45.3,80.9,88.8,61.28,6.0,19.54,30.87,1.67,48.03,2.72,15.8,27.41,0.17,40.04,1.13,3.4,1.08,0.0,0.0,0.0,0.0,1.98,76.41,5.32,5.83,285.63,0.0,0.34,0.06,0.06,1.36,0.17,0.0,0.0,1.98,0.4,0.62,0.11,0.0,0.0,0.0,46.2,0.34,0.17,53.8,1.64,0.23,0.79,0.62,0.91,0.74,0.0,10.87,0.4,2.95,144.09,716.32,72.44,18.97,1.64,17.5,4.02,72.44,36.36,0.06,0.09,0.04,0.03,0.08,0.06,0.03
Aaron Cresswell,Fullbacks,2235,2022-2023 Premier League,50.9,38.7,1.09,1.13,0.04,22.5,4.83,0.85,30.85,1.05,0.04,0.77,2.26,2.26,5.36,0.6,11.6,0.24,0.48,1.25,0.0,0.36,0.36,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,-0.01,0.0,0.0,0.2,1.09,1.61,46.59,0.24,0.0,-0.01,0.08,1.77,0.0,77.8,48.5,77.9,93.4,58.31,8.3,20.01,26.98,0.905,45.38,4.03,15.58,25.21,0.12,38.66,1.61,3.66,1.13,0.0,0.0,0.0,0.0,1.41,70.51,5.84,3.3,345.79,0.0,1.09,0.0,0.04,1.73,0.08,0.0,0.0,2.94,0.44,0.36,0.16,0.04,11.1,0.04,28.6,0.08,0.2,57.1,0.85,0.08,0.48,0.28,0.44,0.28,0.04,7.73,0.16,1.93,140.82,736.31,64.71,17.64,0.52,20.42,3.91,64.71,26.9,0.12,0.16,0.04,0.01,0.12,0.15,0.01
Aaron Cresswell,Fullbacks,2726,2021-2022 Premier League,57.1,52.0,0.79,1.06,0.1,20.5,5.38,1.02,43.09,1.49,0.07,0.4,2.18,1.68,4.79,0.4,11.56,0.13,0.43,0.83,0.0,0.46,0.33,0.13,0.0,0.0,0.07,0.0,0.0,0.2,0.07,0.17,0.03,0.11,0.67,0.36,1.16,1.02,57.31,0.46,0.07,0.03,0.07,1.32,0.0,79.0,42.1,86.1,91.8,69.2,10.5,24.93,30.11,0.94,54.67,4.42,21.46,27.63,0.33,49.42,2.21,4.33,0.63,0.0,0.03,0.0,0.0,1.78,90.03,6.14,3.27,367.63,0.0,0.66,0.0,0.0,1.02,0.07,0.0,0.0,1.75,0.59,0.59,0.26,0.1,16.7,0.0,47.1,0.26,0.2,52.9,0.92,0.13,0.59,0.2,0.59,0.56,0.0,7.66,0.3,2.08,189.54,902.34,76.33,19.02,0.73,22.25,4.16,76.33,35.59,0.1,0.14,0.06,0.04,0.1,0.11,0.04
Aaron Cresswell,Fullbacks,2727,2019-2020 Premier League,53.6,50.0,1.29,1.49,0.0,21.7,5.68,1.09,30.83,1.09,0.07,0.76,2.48,0.63,4.19,0.56,12.67,0.33,0.76,1.52,0.07,0.53,0.56,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.1,0.1,0.05,0.18,0.6,0.33,1.16,0.86,43.37,0.59,0.1,0.05,0.07,0.13,0.0,72.3,43.0,71.2,89.8,56.27,8.45,19.7,24.85,1.255,40.66,3.63,14.03,22.31,0.23,34.42,1.49,4.46,0.69,0.0,0.0,0.0,0.0,1.42,59.67,5.48,3.2,327.16,0.0,0.26,0.0,0.13,1.22,0.03,0.03,0.0,1.68,0.33,0.56,0.23,0.17,29.4,0.07,32.4,0.36,0.17,67.6,1.42,0.13,0.69,0.59,0.86,1.12,0.0,10.56,0.76,2.57,123.76,662.84,65.18,17.16,0.79,17.89,3.3,65.18,30.43,0.23,0.15,0.08,0.05,0.07,0.11,0.05
Aaron Cresswell,Fullbacks,3170,2020-2021 Premier League,54.7,56.3,0.82,0.99,0.23,25.4,5.54,0.82,32.59,0.88,0.0,0.4,2.24,2.47,5.88,0.51,12.69,0.26,0.51,0.91,0.06,0.37,0.51,0.14,0.0,0.03,0.17,0.06,0.0,0.4,0.0,0.23,-0.03,0.0,0.0,0.77,0.91,1.65,47.44,0.37,0.0,-0.03,0.0,1.59,0.0,74.1,46.2,80.3,89.0,60.79,12.18,21.44,24.05,0.84,45.03,5.62,17.21,21.41,0.65,38.3,2.87,4.94,0.74,0.0,0.0,0.0,0.0,0.99,71.66,4.6,2.73,393.08,0.0,1.25,0.0,0.06,1.45,0.14,0.03,0.0,2.92,0.4,0.54,0.31,0.11,21.1,0.0,40.0,0.11,0.57,60.0,0.91,0.06,0.43,0.43,0.37,0.28,0.06,7.35,0.17,1.82,147.66,812.9,67.17,15.76,0.4,21.52,4.8,67.17,30.41,0.09,0.21,0.05,0.03,0.14,0.18,0.03
