Player,Versus,BasedOnMinutes,scouting_period
Abdoulaye Doucouré,Forwards,2629,2023-2024 Premier League
Abdul Fatawu Issahaku,Att Mid / Wingers,579,2024-2025 Premier League
Abdul Fatawu Issahaku,Att Mid / Wingers,579,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Abdul Fatawu Issahaku,Att Mid / Wingers,1342,Last 365 Days Men's Next 14 Competitions
Abdul Fatawu Issahaku,Att Mid / Wingers,2814,2023-2024 Championship
Adam Armstrong,Att Mid / Wingers,1335,2022-2023 Premier League
Adam Armstrong,Att Mid / Wingers,1437,Last 365 Days Men's Next 14 Competitions
Adam Armstrong,Att Mid / Wingers,2853,2018-2019 Championship
Adam Armstrong,Att Mid / Wingers,3471,2019-2020 Championship
Adam Armstrong,Att Mid / Wingers,3745,2023-2024 Championship
Adam Armstrong,Forwards,1132,2024-2025 Premier League
Adam Armstrong,Forwards,1132,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Adam Armstrong,Forwards,1413,2021-2022 Premier League
Adam Armstrong,Forwards,3459,2020-2021 Championship
Adam Lallana,Att Mid / Wingers,722,2022-2023 Premier League
Adam Lallana,Att Mid / Wingers,730,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Adam Lallana,Att Mid / Wingers,850,2023-2024 Premier League
Adama Traoré,Att Mid / Wingers,353,2021-2022 Europa League
Adama Traoré,Att Mid / Wingers,625,2019-2020 Europa League
Adama Traoré,Att Mid / Wingers,964,2024-2025 Premier League
Adama Traoré,Att Mid / Wingers,1067,2021-2022 Premier League
Adama Traoré,Att Mid / Wingers,1297,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Adama Traoré,Att Mid / Wingers,1496,2022-2023 Premier League
Adama Traoré,Att Mid / Wingers,2605,2019-2020 Premier League
Adama Traoré,Att Mid / Wingers,2649,2020-2021 Premier League
Adama Traoré,Forwards,902,2018-2019 Premier League
Alejandro Garnacho,Att Mid / Wingers,215,2022-2023 Europa League
Alejandro Garnacho,Att Mid / Wingers,301,2023-2024 Champions League
Alejandro Garnacho,Att Mid / Wingers,323,2024-2025 Europa League
Alejandro Garnacho,Att Mid / Wingers,569,2022-2023 Premier League
Alejandro Garnacho,Att Mid / Wingers,1124,2024-2025 Premier League
Alejandro Garnacho,Att Mid / Wingers,2565,2023-2024 Premier League
Alejandro Garnacho,Att Mid / Wingers,2857,"Last 365 Days Men's Big 5 Leagues, UCL, UEL"
Alex Iwobi,Att Mid / Wingers,335,2017-2018 Europa League
