Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals,Percentile_% of Aerials Won,Percentile_% of Dribblers Tackled,Percentile_Aerials Lost,Percentile_Aerials Won,Percentile_Assists,Percentile_Average Shot Distance,Percentile_Ball Recoveries,Percentile_Blocks,Percentile_Carries,Percentile_Carries into Final Third,Percentile_Carries into Penalty Area,Percentile_Challenges Lost,Percentile_Clearances,Percentile_Corner Kicks,Percentile_Crosses,Percentile_Crosses into Penalty Area,Percentile_Dead-ball Passes,Percentile_Dispossessed,Percentile_Dribblers Tackled,Percentile_Dribbles Challenged,Percentile_Errors,Percentile_Fouls Committed,Percentile_Fouls Drawn,Percentile_GCA (Dead-ball Pass),Percentile_GCA (Defensive Action),Percentile_GCA (Fouls Drawn),Percentile_GCA (Live-ball Pass),Percentile_GCA (Shot),Percentile_GCA (Take-On),Percentile_Goal-Creating Actions,Percentile_Goals,Percentile_Goals + Assists,Percentile_Goals - xG,Percentile_Goals/Shot,Percentile_Goals/Shot on Target,Percentile_Inswinging Corner Kicks,Percentile_Interceptions,Percentile_Key Passes,Percentile_Live-ball Passes,Percentile_Miscontrols,Percentile_Non-Penalty Goals,Percentile_Non-Penalty Goals - npxG,Percentile_Offsides,Percentile_Outswinging Corner Kicks,Percentile_Own Goals,Percentile_Pass Completion %,Percentile_Pass Completion % (Long),Percentile_Pass Completion % (Medium),Percentile_Pass Completion % (Short),Percentile_Passes Attempted,Percentile_Passes Attempted (Long),Percentile_Passes Attempted (Medium),Percentile_Passes Attempted (Short),Percentile_Passes Blocked,Percentile_Passes Completed,Percentile_Passes Completed (Long),Percentile_Passes Completed (Medium),Percentile_Passes Completed (Short),Percentile_Passes Offside,Percentile_Passes Received,Percentile_Passes from Free Kicks,Percentile_Passes into Final Third,Percentile_Passes into Penalty Area,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Conceded,Percentile_Penalty Kicks Made,Percentile_Penalty Kicks Won,Percentile_Progressive Carries,Percentile_Progressive Carrying Distance,Percentile_Progressive Passes,Percentile_Progressive Passes Rec,Percentile_Progressive Passing Distance,Percentile_Red Cards,Percentile_SCA (Dead-ball Pass),Percentile_SCA (Defensive Action),Percentile_SCA (Fouls Drawn),Percentile_SCA (Live-ball Pass),Percentile_SCA (Shot),Percentile_SCA (Take-On),Percentile_Second Yellow Card,Percentile_Shot-Creating Actions,Percentile_Shots Blocked,Percentile_Shots Total,Percentile_Shots from Free Kicks,Percentile_Shots on Target,Percentile_Shots on Target %,Percentile_Straight Corner Kicks,Percentile_Successful Take-On %,Percentile_Successful Take-Ons,Percentile_Switches,Percentile_Tackled During Take-On Percentage,Percentile_Tackles,Percentile_Tackles (Att 3rd),Percentile_Tackles (Def 3rd),Percentile_Tackles (Mid 3rd),Percentile_Tackles Won,Percentile_Take-Ons Attempted,Percentile_Through Balls,Percentile_Throw-ins Taken,Percentile_Times Tackled During Take-On,Percentile_Tkl+Int,Percentile_Total Carrying Distance,Percentile_Total Passing Distance,Percentile_Touches,Percentile_Touches (Att 3rd),Percentile_Touches (Att Pen),Percentile_Touches (Def 3rd),Percentile_Touches (Def Pen),Percentile_Touches (Live-Ball),Percentile_Touches (Mid 3rd),Percentile_Yellow Cards,Percentile_npxG + xAG,Percentile_npxG/Shot,Percentile_npxG: Non-Penalty xG,Percentile_xA: Expected Assists,Percentile_xAG: Exp. Assisted Goals,Percentile_xG: Expected Goals
Abdoulaye Doucouré,Forwards,2629,2023-2024 Premier League,37.5,39.1,1.37,0.82,0.03,12.2,4.93,0.79,21.74,1.27,0.58,0.96,0.65,0.0,0.89,0.03,0.55,1.44,0.62,1.57,0.0,1.81,0.27,0.0,0.0,0.0,0.1,0.07,0.0,0.17,0.24,0.27,-0.06,0.15,0.33,0.0,0.51,1.16,29.99,2.09,0.24,-0.06,0.72,0.0,0.0,76.5,47.5,83.0,84.1,30.57,2.02,9.86,15.51,0.835,23.38,0.96,8.18,13.04,0.03,27.39,0.0,1.47,0.62,0.0,0.03,0.0,0.0,1.88,57.92,3.32,4.79,79.73,0.0,0.0,0.03,0.03,2.02,0.21,0.0,0.0,2.29,0.1,1.61,0.0,0.72,44.7,0.0,52.1,0.86,0.03,43.8,1.47,0.31,0.68,0.48,0.92,1.64,0.03,0.0,0.72,1.99,112.7,335.73,40.74,16.95,3.42,6.44,1.23,40.74,17.9,0.24,0.4,0.2,0.3,0.05,0.1,0.3,54.0,64.0,83.0,25.0,15.0,78.0,99.0,50.0,68.0,66.0,21.0,3.0,50.0,32.0,75.0,45.0,28.0,60.0,95.0,97.0,53.0,11.0,1.0,46.0,47.0,25.0,23.0,70.0,21.0,19.0,15.0,7.0,30.0,51.0,42.0,46.0,87.0,68.0,87.0,77.0,23.0,32.0,32.0,46.0,51.0,66.0,13.0,87.0,72.0,81.0,83.0,91.0,75.0,44.0,83.0,75.0,95.0,77.0,72.0,68.0,24.0,83.0,54.0,29.0,7.0,31.0,26.0,58.0,68.0,87.0,26.0,83.0,54.0,38.0,44.0,7.0,72.0,25.0,2.0,52.0,40.0,44.0,5.0,40.0,7.0,66.0,48.0,89.0,46.0,36.0,75.0,91.0,62.0,97.0,74.0,89.0,28.0,13.0,15.0,79.0,91.0,58.0,91.0,79.0,58.0,13.0,99.0,72.0,79.0,83.0,32.0,23.0,83.0,23.0,23.0,38.0,17.0
Abdul Fatawu Issahaku,Att Mid / Wingers,579,2024-2025 Premier League,51.9,57.9,2.02,2.18,0.31,31.2,5.91,1.09,33.73,3.73,2.33,1.24,1.87,0.16,4.66,0.31,1.71,1.87,1.71,2.95,0.0,1.71,3.11,0.0,0.0,0.0,0.31,0.16,0.0,0.47,0.0,0.31,-0.06,0.0,0.0,0.0,0.62,0.93,28.91,2.8,0.0,-0.06,0.31,0.0,0.0,62.4,48.5,76.3,72.8,30.62,5.13,9.17,12.59,1.9449999999999998,19.12,2.49,6.99,9.17,0.0,33.58,0.16,1.09,1.09,0.0,0.0,0.0,0.0,6.53,163.99,2.64,9.33,93.42,0.0,0.0,0.0,0.62,1.55,0.16,0.31,0.0,2.64,0.0,2.02,0.0,0.78,38.5,0.0,42.0,4.51,0.31,40.6,3.26,0.93,2.02,0.31,2.33,10.73,0.31,1.4,4.35,3.89,290.52,334.2,50.67,24.4,4.04,11.35,2.95,50.67,17.72,0.0,0.31,0.03,0.06,0.22,0.25,0.06,89.0,84.0,12.0,97.0,77.0,1.0,97.0,63.0,84.0,95.0,81.0,19.0,97.0,38.0,84.0,51.0,51.0,28.0,99.0,94.0,68.0,19.0,98.0,42.0,44.0,34.0,53.0,97.0,31.0,60.0,7.0,29.0,25.0,7.0,7.0,20.0,72.0,10.0,37.0,16.0,7.0,24.0,34.0,32.0,50.0,7.0,39.0,42.0,3.0,37.0,79.0,33.0,16.0,36.5,18.0,81.0,32.0,11.0,88.0,56.0,44.0,25.0,31.0,42.0,53.0,43.0,37.0,93.0,94.0,25.0,76.0,49.0,53.0,19.0,30.0,99.0,11.0,42.0,51.0,52.0,19.0,21.0,51.0,35.0,50.0,62.0,45.0,51.0,98.0,73.0,67.0,99.0,98.0,99.0,16.0,99.0,99.0,53.0,94.0,1.0,97.0,94.0,31.0,69.0,56.0,47.0,97.0,98.0,69.0,62.0,94.0,25.0,1.0,5.0,72.0,75.0,5.0
Abdul Fatawu Issahaku,Att Mid / Wingers,579,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",51.9,57.9,2.02,2.18,0.31,31.2,5.91,1.09,33.73,3.73,2.33,1.24,1.87,0.16,4.66,0.31,1.71,1.87,1.71,2.95,0.0,1.71,3.11,0.0,0.0,0.0,0.31,0.16,0.0,0.47,0.0,0.31,-0.06,0.0,0.0,0.0,0.62,0.93,28.91,2.8,0.0,-0.06,0.31,0.0,0.0,62.4,48.5,76.3,72.8,30.62,5.13,9.17,12.59,1.9449999999999998,19.12,2.49,6.99,9.17,0.0,33.58,0.16,1.09,1.09,0.0,0.0,0.0,0.0,6.53,163.99,2.64,9.33,93.42,0.0,0.0,0.0,0.62,1.55,0.16,0.31,0.0,2.64,0.0,2.02,0.0,0.78,38.5,0.0,42.0,4.51,0.31,40.6,3.26,0.93,2.02,0.31,2.33,10.73,0.31,1.4,4.35,3.89,290.52,334.2,50.67,24.4,4.04,11.35,2.95,50.67,17.72,0.0,0.31,0.03,0.06,0.22,0.25,0.06,89.0,96.0,7.0,99.0,77.0,1.0,98.0,73.0,66.0,98.0,80.0,8.0,99.0,28.0,80.0,53.0,38.0,20.0,99.0,98.0,70.0,7.0,96.0,32.0,41.0,23.0,46.0,99.0,17.0,47.0,1.0,18.0,12.0,1.0,1.0,13.0,85.0,4.0,20.0,18.0,1.0,12.0,38.0,18.0,50.0,1.0,38.0,32.0,1.0,20.0,73.0,20.0,6.0,40.5,8.0,70.0,20.0,3.0,99.0,39.0,31.0,12.0,23.0,30.0,55.0,32.0,26.0,97.0,96.0,20.0,68.0,34.0,58.0,9.0,16.0,99.0,2.0,25.0,50.0,55.0,7.0,15.0,36.0,24.0,47.0,61.0,42.0,40.0,99.0,64.0,82.0,99.0,99.0,99.0,19.0,99.0,99.0,57.0,92.0,1.0,99.0,95.0,19.0,60.0,50.0,42.0,99.0,99.0,61.0,39.0,98.0,18.0,1.0,1.0,58.0,65.0,1.0
Abdul Fatawu Issahaku,Att Mid / Wingers,1342,Last 365 Days Men's Next 14 Competitions,64.1,65.2,0.94,1.68,0.4,19.8,4.9,1.61,33.87,1.21,2.28,0.54,1.07,1.14,4.69,0.74,2.21,1.07,1.01,1.54,0.0,1.54,1.54,0.0,0.0,0.07,0.54,0.0,0.13,0.74,0.27,0.67,0.05,0.11,0.5,0.6,0.74,1.88,34.4,2.35,0.27,0.05,0.4,0.0,0.0,71.1,48.9,73.4,83.6,36.68,6.17,14.62,14.75,1.1099999999999999,26.09,3.02,10.73,12.34,0.07,34.61,0.2,1.27,2.48,0.0,0.0,0.0,0.07,3.76,117.5,3.76,12.47,100.13,0.0,0.27,0.07,0.27,2.95,0.13,0.8,0.0,4.49,0.13,2.55,0.0,0.54,21.1,0.0,50.6,2.75,0.54,44.4,2.21,0.47,1.21,0.54,1.27,5.43,0.2,0.87,2.41,2.95,223.66,469.72,51.24,29.78,5.43,6.71,1.74,51.24,15.63,0.07,0.56,0.08,0.21,0.34,0.35,0.21,98.0,98.0,54.0,93.0,95.0,32.0,81.0,96.0,76.0,12.0,95.0,85.0,86.0,56.0,76.0,96.0,47.0,75.0,93.0,64.0,63.0,15.0,56.0,29.0,42.0,85.0,95.0,22.0,93.0,94.0,62.0,87.0,70.0,55.0,93.0,60.0,86.0,67.0,56.0,47.0,68.0,68.0,21.0,15.0,51.0,31.0,44.0,25.0,38.0,53.0,72.0,72.0,37.0,92.0,48.0,72.0,67.0,38.0,87.0,51.0,35.0,18.0,95.0,34.0,55.0,35.0,92.0,77.0,85.0,48.0,98.0,38.0,55.0,52.0,72.0,73.0,76.0,21.0,97.0,51.0,76.0,79.0,71.0,21.0,24.0,4.0,42.0,82.0,92.0,84.0,77.0,95.0,88.0,99.0,41.0,87.0,90.0,56.0,79.0,15.0,96.0,79.0,59.0,62.0,89.0,93.0,80.0,97.0,62.0,20.0,82.0,91.0,31.0,59.0,96.0,95.0,52.0
Abdul Fatawu Issahaku,Att Mid / Wingers,2814,2023-2024 Championship,55.8,52.9,1.22,1.54,0.42,20.6,4.77,1.28,35.57,1.89,2.4,0.77,1.25,1.06,4.57,0.83,1.95,1.12,0.86,1.63,0.0,1.38,1.44,0.0,0.0,0.03,0.64,0.0,0.06,0.74,0.19,0.61,0.04,0.08,0.4,0.54,0.64,2.08,35.82,2.49,0.19,0.04,0.35,0.03,0.0,74.0,53.1,78.1,85.4,37.8,6.27,14.9,15.13,1.06,27.99,3.33,11.64,12.92,0.03,36.88,0.19,1.44,2.56,0.0,0.0,0.0,0.03,4.61,130.71,3.71,12.67,106.06,0.03,0.16,0.03,0.16,3.17,0.16,0.58,0.0,4.25,0.22,2.4,0.0,0.48,20.0,0.0,49.7,2.88,0.7,42.5,1.95,0.38,1.06,0.51,1.34,5.79,0.29,0.7,2.46,2.59,249.15,516.3,52.55,30.54,5.31,6.91,1.5,52.55,16.15,0.19,0.52,0.06,0.15,0.35,0.37,0.15,97.0,83.0,49.0,87.0,99.0,12.0,69.0,76.0,86.0,64.0,92.0,61.0,87.0,72.0,85.0,98.0,55.0,63.0,78.0,62.0,60.0,35.0,57.0,38.0,44.0,71.0,99.0,26.0,76.0,97.0,47.0,91.0,67.0,34.0,76.0,76.0,64.0,85.0,68.0,45.0,50.0,68.0,38.0,53.0,50.0,49.0,65.0,54.0,57.0,64.0,86.0,82.0,44.0,65.0,60.0,88.0,79.0,45.0,90.0,72.0,41.0,33.0,99.0,40.0,54.0,42.0,80.0,88.0,92.0,53.0,97.0,57.0,5.0,60.0,42.0,53.0,91.0,30.0,88.0,52.0,85.0,88.0,74.0,29.0,24.0,8.0,44.0,85.0,94.0,98.0,84.0,77.0,70.0,94.0,33.0,88.0,93.0,79.0,67.0,18.0,76.0,91.0,80.0,76.0,91.0,88.0,74.0,84.0,76.0,29.0,41.0,91.0,7.0,29.0,98.0,98.0,26.0
Adam Armstrong,Att Mid / Wingers,1335,2022-2023 Premier League,19.2,30.0,1.42,0.34,0.07,15.9,3.64,1.01,17.19,1.96,0.74,0.47,0.4,0.0,0.94,0.13,2.36,1.48,0.2,0.67,0.0,1.15,0.61,0.0,0.07,0.0,0.07,0.0,0.0,0.13,0.13,0.2,-0.01,0.08,0.17,0.0,0.34,0.74,18.0,1.62,0.13,-0.01,0.13,0.0,0.0,72.8,56.5,79.8,82.2,20.36,1.55,6.0,9.84,1.115,14.83,0.88,4.79,8.09,0.0,18.4,0.0,0.88,0.67,0.0,0.0,0.0,0.0,2.63,67.15,1.08,4.72,39.44,0.0,0.0,0.07,0.07,1.28,0.07,0.13,0.0,1.62,0.2,1.69,0.0,0.81,48.0,0.0,30.2,0.88,0.27,58.1,0.94,0.2,0.4,0.34,0.61,2.9,0.0,0.2,1.69,1.28,157.62,218.09,30.88,14.97,3.1,4.79,0.74,30.88,11.87,0.13,0.22,0.08,0.14,0.05,0.09,0.14,11.0,27.0,40.0,30.0,30.0,67.0,20.0,52.0,2.0,54.0,34.0,90.0,37.0,12.0,23.0,36.0,57.0,55.0,5.0,4.0,59.0,47.0,5.0,36.0,97.0,32.0,9.0,27.0,25.0,7.0,28.0,20.0,49.0,34.0,26.0,21.0,29.0,10.0,2.0,86.0,34.0,48.0,70.0,28.0,52.0,36.0,59.0,64.0,28.0,3.0,18.0,8.0,3.0,31.0,6.0,22.0,14.0,4.0,92.0,2.0,13.0,12.0,19.0,40.0,56.0,40.0,35.0,38.0,24.0,2.0,18.0,5.0,53.0,16.0,75.0,14.0,4.0,7.0,23.0,51.0,1.0,85.0,34.0,29.0,61.0,93.0,40.0,8.0,13.0,58.0,5.0,21.0,23.0,36.0,25.0,36.0,35.0,5.0,31.0,43.0,20.0,34.0,7.0,4.0,9.0,32.0,30.0,40.0,4.0,7.0,51.0,11.0,22.0,26.0,6.0,20.0,26.0
Adam Armstrong,Att Mid / Wingers,1437,Last 365 Days Men's Next 14 Competitions,63.2,55.6,0.44,0.75,0.13,16.0,2.32,1.0,26.24,1.06,1.44,0.25,0.5,0.06,1.75,0.13,1.69,0.75,0.31,0.56,0.0,1.06,0.69,0.0,0.0,0.0,0.19,0.13,0.0,0.31,0.44,0.56,-0.17,0.07,0.21,0.0,0.19,1.06,30.06,1.44,0.31,-0.19,0.5,0.0,0.0,80.0,55.6,80.3,91.2,31.94,2.25,10.84,16.28,1.005,25.55,1.25,8.71,14.84,0.19,33.44,0.19,0.94,0.94,0.13,0.0,0.13,0.0,2.69,66.51,2.51,11.09,67.83,0.0,0.06,0.06,0.06,1.69,0.38,0.25,0.0,2.51,0.13,4.2,0.0,1.5,35.8,0.0,27.0,0.63,0.5,56.8,0.63,0.25,0.19,0.19,0.38,2.32,0.31,1.0,1.32,0.81,140.17,379.29,43.28,24.55,7.45,2.88,0.56,43.15,16.16,0.0,0.64,0.13,0.51,0.2,0.13,0.61,98.0,90.0,94.0,68.0,33.0,83.0,1.0,63.0,33.0,8.0,76.0,98.0,42.0,19.0,23.0,21.0,38.0,95.0,14.0,2.0,63.0,44.0,9.0,29.0,42.0,26.0,32.0,97.0,24.0,33.0,88.0,77.0,1.0,27.0,28.0,14.0,6.0,15.0,37.0,92.0,78.0,1.0,11.0,15.0,51.0,85.0,66.0,68.0,96.0,36.0,20.0,41.0,48.0,54.0,46.0,24.0,43.0,57.0,48.0,46.0,34.0,9.0,24.0,89.0,55.0,92.0,32.0,48.0,26.0,17.0,93.0,12.0,55.0,30.0,69.0,11.0,11.0,86.0,50.0,51.0,12.0,76.0,99.0,21.0,98.0,52.0,42.0,2.0,10.0,83.0,21.0,6.0,48.0,7.0,3.0,5.0,30.0,76.0,85.0,62.0,5.0,19.0,40.0,31.0,62.0,99.0,1.0,34.0,31.0,24.0,98.0,94.0,84.0,99.0,69.0,29.0,99.0
Adam Armstrong,Att Mid / Wingers,2853,2018-2019 Championship,44.7,13.6,0.66,0.54,0.09,18.2,3.72,0.6,23.97,1.8,1.2,0.6,0.73,0.22,3.09,0.38,1.17,1.45,0.09,0.69,0.0,0.82,0.5,0.0,0.0,0.03,0.22,0.06,0.03,0.35,0.16,0.25,-0.03,0.07,0.16,0.09,0.38,1.14,24.73,2.9,0.16,-0.03,0.54,0.03,0.0,67.6,36.2,67.7,81.6,25.99,3.31,9.56,11.32,0.695,17.57,1.2,6.47,9.24,0.09,27.57,0.09,1.07,1.45,0.0,0.0,0.0,0.03,3.15,89.05,2.52,8.39,70.66,0.0,0.0,0.0,0.09,1.89,0.35,0.38,0.0,2.71,0.03,2.37,0.06,0.98,41.3,0.0,44.7,1.2,0.16,55.3,0.73,0.22,0.35,0.16,0.38,2.68,0.16,0.38,1.48,1.1,183.25,276.25,37.35,21.92,3.82,4.51,0.44,37.35,11.48,0.03,0.32,0.08,0.19,0.13,0.14,0.19,91.0,5.0,96.0,34.0,35.0,63.0,26.0,13.0,26.0,51.0,78.0,72.0,41.0,38.0,59.0,73.0,27.0,63.0,5.0,11.0,63.0,76.0,3.0,35.0,45.0,65.0,48.0,77.0,68.0,53.0,42.0,32.0,34.0,31.0,18.0,44.0,22.0,31.0,22.0,27.0,43.0,33.0,11.0,42.0,51.0,26.0,17.0,29.0,42.0,18.0,38.0,41.0,14.0,50.0,19.0,23.0,35.0,15.0,66.0,25.0,26.0,16.0,82.0,42.0,56.0,45.0,75.0,68.0,62.0,31.0,81.0,26.0,55.0,12.0,23.0,15.0,30.0,80.0,84.0,52.0,26.0,25.0,69.0,59.0,82.0,88.0,29.0,24.0,51.0,35.0,23.0,14.0,51.0,32.0,3.0,11.0,61.0,65.0,42.0,18.0,12.0,55.0,26.0,16.0,62.0,68.0,33.0,13.0,16.0,4.0,87.0,46.0,45.0,54.0,47.0,39.0,54.0
Adam Armstrong,Att Mid / Wingers,3471,2019-2020 Championship,18.9,25.9,1.12,0.26,0.16,19.7,3.16,0.6,22.48,1.66,1.09,0.52,0.21,0.34,2.39,0.34,2.1,1.45,0.18,0.7,0.0,0.54,0.93,0.0,0.0,0.03,0.29,0.08,0.03,0.41,0.41,0.57,0.12,0.14,0.31,0.03,0.41,1.06,24.04,2.26,0.36,0.11,0.75,0.05,0.0,74.4,43.5,79.9,84.0,26.21,2.98,9.28,12.5,0.7250000000000001,19.5,1.3,7.42,10.5,0.08,27.3,0.08,1.22,1.19,0.05,0.0,0.05,0.0,2.83,72.76,2.54,7.29,58.16,0.0,0.16,0.03,0.23,1.87,0.31,0.39,0.0,2.98,0.05,2.62,0.1,1.17,44.6,0.0,40.0,1.04,0.13,60.0,0.65,0.21,0.13,0.31,0.21,2.59,0.0,0.26,1.56,1.06,164.62,315.71,36.87,20.07,3.94,3.03,0.29,36.82,14.21,0.0,0.37,0.1,0.25,0.1,0.12,0.29,13.0,29.0,79.0,9.0,57.0,41.0,5.0,29.0,25.0,44.0,65.0,93.0,8.0,46.0,44.0,69.0,48.0,62.0,9.0,5.0,58.0,90.0,21.0,33.0,45.0,55.0,71.0,81.0,59.0,66.0,93.0,88.0,89.0,80.0,51.0,39.0,22.0,29.0,20.0,64.0,90.0,86.0,4.0,50.0,53.0,70.0,43.0,75.0,58.0,22.0,36.0,38.0,24.0,44.5,33.0,35.0,46.0,28.0,75.0,36.0,18.0,26.0,64.0,89.0,54.0,91.0,31.0,57.0,45.0,34.0,71.0,16.0,54.0,50.0,37.0,60.0,39.0,83.0,73.0,51.0,43.0,38.0,86.0,66.0,94.0,94.0,32.0,6.0,29.0,33.0,6.0,7.0,38.0,5.0,11.0,2.0,57.0,13.0,29.0,25.0,8.0,45.0,36.0,19.0,49.0,72.0,6.0,10.0,18.0,19.0,95.0,62.0,59.0,76.0,24.0,36.0,82.0
Adam Armstrong,Att Mid / Wingers,3745,2023-2024 Championship,59.1,46.4,0.43,0.62,0.31,15.0,2.21,0.72,23.67,1.35,0.99,0.36,0.55,0.1,1.49,0.22,1.49,1.06,0.31,0.67,0.0,0.94,0.67,0.0,0.0,0.0,0.34,0.1,0.02,0.46,0.5,0.82,-0.02,0.12,0.31,0.0,0.22,1.49,27.56,1.61,0.41,-0.05,0.55,0.0,0.0,79.9,49.4,80.6,90.7,29.17,1.9,10.38,14.71,0.8400000000000001,23.31,0.94,8.36,13.34,0.12,30.35,0.17,1.01,0.96,0.1,0.0,0.1,0.0,2.31,56.55,2.57,9.18,59.72,0.0,0.02,0.05,0.1,2.11,0.29,0.19,0.0,2.76,0.07,3.36,0.02,1.3,38.6,0.0,27.3,0.5,0.29,57.1,0.6,0.22,0.19,0.19,0.38,1.85,0.19,0.67,1.06,0.82,125.11,344.21,38.86,23.31,6.97,2.72,0.65,38.76,13.12,0.12,0.64,0.14,0.45,0.2,0.19,0.53,99.0,64.0,94.0,54.0,94.0,87.0,3.0,19.0,25.0,29.0,51.0,95.0,41.0,35.0,33.0,49.0,41.0,69.0,13.0,6.0,60.0,68.0,14.0,38.0,44.0,33.0,80.0,92.0,59.0,77.0,96.0,99.0,36.0,63.0,50.0,21.0,8.0,59.0,34.0,91.0,90.0,29.0,16.0,26.0,50.0,85.0,51.0,75.0,98.0,33.0,19.0,40.0,40.0,42.5,41.0,18.0,47.0,50.0,54.0,43.0,37.0,15.0,38.0,93.0,54.0,97.0,39.0,37.0,19.0,27.0,78.0,17.0,53.0,29.0,50.0,34.0,44.0,74.0,44.0,52.0,40.0,43.0,96.0,59.0,98.0,71.0,44.0,6.0,10.0,66.0,22.0,4.0,32.0,7.0,6.0,5.0,24.0,63.0,65.0,62.0,2.0,17.0,38.0,23.0,66.0,98.0,3.0,27.0,23.0,12.0,68.0,98.0,88.0,98.0,81.0,76.0,99.0
