Player,Versus,BasedOnMinutes,scouting_period,Percentile_Average Pass Length,Percentile_Avg. Distance of Def. Actions,Percentile_Avg. Length of Goal Kicks,Percentile_Clean Sheet Percentage,Percentile_Clean Sheets,Percentile_Corner Kick Goals Against,Percentile_Crosses Faced,Percentile_Crosses Stopped,Percentile_Crosses Stopped %,Percentile_Def. Actions Outside Pen. Area,Percentile_Draws,Percentile_Free Kick Goals Against,Percentile_Goal Kicks,Percentile_Goals Against,Percentile_Launch %,Percentile_Launch% (Goal Kicks),Percentile_Losses,Percentile_Own Goals Scored Against Goalkeeper,Percentile_PSxG-GA,Percentile_PSxG/SoT,Percentile_Pass Completion Percentage (Launched),Percentile_Passes Attempted (GK),Percentile_Passes Attempted (Launched),Percentile_Passes Completed (Launched),Percentile_Penalty Kicks Allowed,Percentile_Penalty Kicks Attempted,Percentile_Penalty Kicks Missed,Percentile_Penalty Kicks Saved,Percentile_Post-Shot Expected Goals,Percentile_Save Percentage,Percentile_Save% (Penalty Kicks),Percentile_Saves,Percentile_Shots on Target Against,Percentile_Throws Attempted,Percentile_Wins
Aaron Ramsdale,Goalkeepers,300,2022-2023 Europa League,75.0,87.0,99.0,57.0,57.0,23.0,13.0,63.0,81.0,93.0,77.0,55.0,25.0,71.0,75.0,95.0,39.0,64.0,43.0,76.0,43.0,59.0,83.0,77.0,77.0,21.0,49.0,46.0,79.0,28.0,,13.0,16.0,48.0,45.0
Aaron Ramsdale,Goalkeepers,540,2023-2024 Premier League,58.0,48.0,38.0,83.0,86.0,63.0,2.0,86.0,98.0,61.0,27.0,64.0,11.0,95.0,58.0,33.0,5.0,86.0,23.0,20.0,14.0,42.0,42.0,27.0,92.0,6.0,45.0,41.0,98.0,23.0,,5.0,5.0,63.0,98.0
Aaron Ramsdale,Goalkeepers,1260,2024-2025 Premier League,63.0,23.0,64.0,23.0,25.0,5.0,52.0,57.0,66.0,13.0,14.0,63.0,41.0,18.0,70.0,59.0,91.0,70.0,30.0,68.0,34.0,95.0,88.0,70.0,32.0,66.0,50.0,38.0,9.0,41.0,38.0,95.0,98.0,77.0,9.0
Aaron Ramsdale,Goalkeepers,1350,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",62.0,14.0,56.0,17.0,17.0,1.0,45.0,84.0,92.0,24.0,10.0,70.0,25.0,8.0,72.0,59.0,99.0,84.0,44.0,84.0,28.0,94.0,85.0,79.0,35.0,44.0,40.0,27.0,1.0,39.0,27.0,98.0,98.0,81.0,5.0
Aaron Ramsdale,Goalkeepers,3060,2021-2022 Premier League,37.0,79.0,79.0,79.0,79.0,83.0,17.0,52.0,56.0,90.0,6.0,77.0,13.0,67.0,40.0,79.0,25.0,50.0,87.0,37.0,10.0,75.0,48.0,37.0,33.0,73.0,90.0,37.0,71.0,75.0,37.0,33.0,21.0,63.0,90.0
Aaron Ramsdale,Goalkeepers,3330,2019-2020 Premier League,59.0,14.0,63.0,9.0,9.0,70.0,73.0,41.0,38.0,41.0,34.0,5.0,63.0,23.0,52.0,59.0,88.0,86.0,52.0,66.0,23.0,41.0,48.0,45.0,27.0,73.0,45.0,63.0,20.0,45.0,55.0,73.0,77.0,73.0,23.0
Aaron Ramsdale,Goalkeepers,3420,2020-2021 Premier League,94.0,33.0,98.0,2.0,2.0,25.0,63.0,90.0,71.0,54.0,6.0,71.0,63.0,17.0,90.0,98.0,98.0,23.0,23.0,48.0,17.0,40.0,90.0,83.0,75.0,27.0,79.0,27.0,13.0,40.0,27.0,90.0,94.0,6.0,10.0
Aaron Ramsdale,Goalkeepers,3420,2022-2023 Premier League,63.0,80.0,84.0,84.0,84.0,68.0,13.0,23.0,36.0,38.0,21.0,75.0,5.0,82.0,55.0,63.0,9.0,79.0,55.0,41.0,13.0,41.0,41.0,20.0,52.0,48.0,95.0,25.0,84.0,59.0,25.0,27.0,13.0,48.0,95.0
Alex McCarthy,Goalkeepers,450,2023-2024 Championship,6.0,1.0,1.0,31.0,31.0,99.0,1.0,4.0,14.0,4.0,4.0,73.0,14.0,9.0,19.0,1.0,90.0,84.0,19.0,75.0,31.0,59.0,1.0,6.0,89.0,8.0,39.0,38.0,14.0,21.0,,81.0,91.0,69.0,59.0
Alex McCarthy,Goalkeepers,450,Last 365 Days Men's Next 14 Competitions,3.0,1.0,1.0,22.0,23.0,99.0,3.0,8.0,18.0,1.0,1.0,69.0,2.0,10.0,8.0,1.0,96.0,77.0,7.0,80.0,9.0,74.0,2.0,1.0,94.0,4.0,40.0,30.0,20.0,13.0,,82.0,90.0,89.0,63.0
Alex McCarthy,Goalkeepers,540,2022-2023 Premier League,70.0,30.0,9.0,2.0,2.0,59.0,77.0,71.0,48.0,45.0,27.0,75.0,82.0,2.0,80.0,20.0,98.0,9.0,2.0,95.0,2.0,88.0,84.0,59.0,21.0,68.0,39.0,25.0,5.0,2.0,25.0,16.0,84.0,55.0,2.0
Alex McCarthy,Goalkeepers,1530,2021-2022 Premier League,62.0,2.0,75.0,56.0,56.0,10.0,58.0,92.0,94.0,2.0,90.0,77.0,40.0,37.0,60.0,75.0,56.0,88.0,17.0,88.0,25.0,17.0,60.0,48.0,94.0,4.0,37.0,37.0,52.0,10.0,,29.0,40.0,56.0,17.0
