Player,Versus,BasedOnMinutes,scouting_period,Per90_% of Aerials Won,Per90_% of Dribblers Tackled,Per90_Aerials Lost,Per90_Aerials Won,Per90_Assists,Per90_Average Shot Distance,Per90_Ball Recoveries,Per90_Blocks,Per90_Carries,Per90_Carries into Final Third,Per90_Carries into Penalty Area,Per90_Challenges Lost,Per90_Clearances,Per90_Corner Kicks,Per90_Crosses,Per90_Crosses into Penalty Area,Per90_Dead-ball Passes,Per90_Dispossessed,Per90_Dribblers Tackled,Per90_Dribbles Challenged,Per90_Errors,Per90_Fouls Committed,Per90_Fouls Drawn,Per90_GCA (Dead-ball Pass),Per90_GCA (Defensive Action),Per90_GCA (Fouls Drawn),Per90_GCA (Live-ball Pass),Per90_GCA (Shot),Per90_GCA (Take-On),Per90_Goal-Creating Actions,Per90_Goals,Per90_Goals + Assists,Per90_Goals - xG,Per90_Goals/Shot,Per90_Goals/Shot on Target,Per90_Inswinging Corner Kicks,Per90_Interceptions,Per90_Key Passes,Per90_Live-ball Passes,Per90_Miscontrols,Per90_Non-Penalty Goals,Per90_Non-Penalty Goals - npxG,Per90_Offsides,Per90_Outswinging Corner Kicks,Per90_Own Goals,Per90_Pass Completion %,Per90_Pass Completion % (Long),Per90_Pass Completion % (Medium),Per90_Pass Completion % (Short),Per90_Passes Attempted,Per90_Passes Attempted (Long),Per90_Passes Attempted (Medium),Per90_Passes Attempted (Short),Per90_Passes Blocked,Per90_Passes Completed,Per90_Passes Completed (Long),Per90_Passes Completed (Medium),Per90_Passes Completed (Short),Per90_Passes Offside,Per90_Passes Received,Per90_Passes from Free Kicks,Per90_Passes into Final Third,Per90_Passes into Penalty Area,Per90_Penalty Kicks Attempted,Per90_Penalty Kicks Conceded,Per90_Penalty Kicks Made,Per90_Penalty Kicks Won,Per90_Progressive Carries,Per90_Progressive Carrying Distance,Per90_Progressive Passes,Per90_Progressive Passes Rec,Per90_Progressive Passing Distance,Per90_Red Cards,Per90_SCA (Dead-ball Pass),Per90_SCA (Defensive Action),Per90_SCA (Fouls Drawn),Per90_SCA (Live-ball Pass),Per90_SCA (Shot),Per90_SCA (Take-On),Per90_Second Yellow Card,Per90_Shot-Creating Actions,Per90_Shots Blocked,Per90_Shots Total,Per90_Shots from Free Kicks,Per90_Shots on Target,Per90_Shots on Target %,Per90_Straight Corner Kicks,Per90_Successful Take-On %,Per90_Successful Take-Ons,Per90_Switches,Per90_Tackled During Take-On Percentage,Per90_Tackles,Per90_Tackles (Att 3rd),Per90_Tackles (Def 3rd),Per90_Tackles (Mid 3rd),Per90_Tackles Won,Per90_Take-Ons Attempted,Per90_Through Balls,Per90_Throw-ins Taken,Per90_Times Tackled During Take-On,Per90_Tkl+Int,Per90_Total Carrying Distance,Per90_Total Passing Distance,Per90_Touches,Per90_Touches (Att 3rd),Per90_Touches (Att Pen),Per90_Touches (Def 3rd),Per90_Touches (Def Pen),Per90_Touches (Live-Ball),Per90_Touches (Mid 3rd),Per90_Yellow Cards,Per90_npxG + xAG,Per90_npxG/Shot,Per90_npxG: Non-Penalty xG,Per90_xA: Expected Assists,Per90_xAG: Exp. Assisted Goals,Per90_xG: Expected Goals
Abdoulaye Doucouré,Midfielders,1425,2024-2025 Premier League,55.9,36.8,0.95,1.2,0.0,15.8,5.24,1.2,21.73,1.07,0.13,0.76,0.82,0.0,0.69,0.0,0.69,1.2,0.44,1.2,0.06,1.77,0.13,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.0,-0.06,0.0,0.0,0.0,0.38,1.07,33.85,1.01,0.0,-0.06,0.51,0.0,0.0,81.3,75.0,86.0,84.7,34.8,2.27,14.02,16.11,0.95,28.29,1.71,12.06,13.64,0.25,27.85,0.19,1.77,0.44,0.0,0.0,0.0,0.0,1.52,55.07,2.97,2.84,85.83,0.0,0.0,0.06,0.0,1.83,0.06,0.0,0.0,1.96,0.25,0.69,0.0,0.13,18.2,0.0,58.8,0.63,0.06,41.2,1.83,0.19,0.88,0.76,1.01,1.07,0.0,0.0,0.44,2.21,112.42,450.63,42.51,13.2,1.33,9.66,1.52,42.51,20.21,0.06,0.11,0.08,0.06,0.04,0.06,0.06
Abdoulaye Doucouré,Midfielders,1533,2022-2023 Premier League,30.2,32.4,1.76,0.76,0.12,13.2,5.87,1.53,21.78,0.94,0.41,1.47,0.65,0.0,0.47,0.0,0.94,0.76,0.7,2.17,0.0,1.23,0.23,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.29,0.41,0.15,0.25,0.63,0.0,0.76,1.29,31.12,1.59,0.29,0.15,0.47,0.0,0.0,78.5,53.8,82.4,82.6,32.17,0.76,9.98,18.61,1.085,25.24,0.41,8.22,15.38,0.12,25.83,0.0,1.7,0.59,0.0,0.06,0.0,0.0,1.35,52.6,2.23,3.87,78.26,0.06,0.0,0.12,0.0,2.23,0.12,0.18,0.0,2.64,0.18,1.17,0.0,0.47,40.0,0.0,60.6,1.17,0.0,33.3,1.82,0.41,0.53,0.88,1.17,1.94,0.06,0.0,0.65,2.58,99.16,330.94,41.86,14.21,2.64,9.16,1.06,41.86,19.2,0.35,0.27,0.12,0.14,0.08,0.13,0.14
Abdoulaye Doucouré,Midfielders,2443,2020-2021 Premier League,66.7,32.6,0.7,1.4,0.11,17.4,6.85,0.88,31.57,1.51,0.11,1.07,1.14,0.04,0.33,0.04,0.41,0.96,0.52,1.58,0.04,0.85,0.44,0.0,0.0,0.0,0.26,0.0,0.0,0.26,0.07,0.18,-0.01,0.11,0.4,0.0,1.44,0.77,49.33,1.29,0.07,-0.01,0.0,0.0,0.0,84.3,78.3,90.0,87.5,49.88,3.06,18.05,24.54,0.8300000000000001,42.03,2.39,16.25,21.48,0.15,38.31,0.37,2.39,0.85,0.0,0.0,0.0,0.0,1.25,72.69,3.83,2.58,145.63,0.0,0.04,0.11,0.0,1.55,0.07,0.07,0.0,1.84,0.26,0.66,0.0,0.18,27.8,0.0,63.6,0.77,0.15,36.4,1.92,0.29,0.92,0.7,1.18,1.22,0.11,0.0,0.44,3.35,159.04,645.33,58.87,11.64,1.22,15.58,2.25,58.87,32.46,0.22,0.16,0.13,0.08,0.08,0.07,0.08
Abdoulaye Doucouré,Midfielders,2524,"Last 365 Days Men's Big 5 Leagues, UCL, UEL",50.8,34.2,1.03,1.07,0.04,13.7,4.96,0.93,21.54,1.11,0.29,0.89,0.78,0.0,0.78,0.0,0.61,1.39,0.46,1.36,0.04,1.68,0.21,0.0,0.04,0.0,0.04,0.0,0.0,0.07,0.04,0.07,-0.12,0.03,0.13,0.0,0.32,0.96,32.38,1.36,0.04,-0.12,0.75,0.0,0.0,79.1,66.1,84.6,84.3,33.13,2.21,12.77,15.48,0.875,26.21,1.46,10.8,13.05,0.14,28.03,0.11,1.46,0.53,0.0,0.04,0.0,0.0,1.6,50.17,3.32,3.57,85.19,0.0,0.0,0.04,0.0,1.71,0.07,0.0,0.0,1.82,0.18,1.03,0.0,0.29,27.6,0.0,54.1,0.71,0.04,43.2,1.57,0.25,0.78,0.53,0.89,1.32,0.0,0.0,0.57,1.89,108.04,410.03,41.58,14.9,2.0,8.27,1.5,41.58,18.97,0.14,0.21,0.16,0.16,0.04,0.05,0.16
Abdoulaye Doucouré,Midfielders,2537,2021-2022 Premier League,48.6,45.1,1.31,1.24,0.14,17.9,7.56,1.17,24.62,0.99,0.21,1.38,1.14,0.0,0.39,0.0,0.6,0.78,1.14,2.52,0.0,1.38,0.57,0.0,0.0,0.0,0.18,0.04,0.04,0.25,0.07,0.21,-0.01,0.06,0.18,0.0,0.99,0.67,38.24,1.53,0.07,-0.01,0.04,0.0,0.0,78.8,62.5,84.3,84.3,38.92,2.55,12.45,20.61,1.015,30.65,1.6,10.5,17.38,0.07,27.1,0.39,2.87,0.67,0.0,0.0,0.0,0.0,1.17,62.79,4.01,1.92,108.48,0.0,0.0,0.04,0.0,1.77,0.11,0.11,0.0,2.02,0.28,1.21,0.0,0.39,32.4,0.0,51.2,0.75,0.11,48.8,2.66,0.28,1.06,1.31,1.53,1.45,0.11,0.04,0.71,3.65,124.16,453.05,49.31,12.03,1.56,11.67,2.23,49.31,26.43,0.21,0.15,0.06,0.08,0.05,0.07,0.08
Abdoulaye Doucouré,Midfielders,3062,2018-2019 Premier League,52.6,33.3,1.06,1.18,0.18,17.6,7.55,0.91,42.56,1.44,0.35,1.12,1.62,0.03,0.32,0.06,1.03,1.21,0.56,1.68,0.15,1.06,0.38,0.03,0.0,0.0,0.15,0.06,0.03,0.26,0.15,0.32,-0.04,0.1,0.31,0.0,1.0,1.12,56.4,1.73,0.15,-0.04,0.06,0.0,0.03,82.6,68.1,87.8,86.9,57.7,4.7,19.02,29.1,0.945,47.67,3.2,16.7,25.28,0.26,45.73,0.91,3.97,0.97,0.0,0.0,0.0,0.0,1.7,97.55,5.94,2.44,193.7,0.0,0.06,0.0,0.0,2.12,0.15,0.12,0.0,2.44,0.24,1.53,0.0,0.47,30.8,0.0,58.2,0.94,0.38,41.8,2.09,0.35,0.79,0.94,1.12,1.62,0.15,0.06,0.68,3.09,194.34,718.32,68.19,15.31,2.29,12.7,1.82,68.19,40.86,0.21,0.32,0.13,0.18,0.08,0.14,0.18
Abdoulaye Doucouré,Midfielders,3156,2019-2020 Premier League,49.5,28.1,1.6,1.57,0.06,18.3,7.7,1.31,35.39,1.94,0.46,1.17,0.91,0.06,0.83,0.06,0.4,0.88,0.46,1.63,0.0,1.45,0.43,0.0,0.0,0.0,0.17,0.06,0.0,0.23,0.11,0.17,-0.03,0.07,0.33,0.0,0.88,1.08,48.28,1.65,0.11,-0.03,0.17,0.0,0.03,77.1,60.4,83.2,82.8,48.82,2.88,15.63,24.58,1.21,37.64,1.74,13.0,20.36,0.14,38.58,0.23,3.42,0.77,0.0,0.03,0.0,0.0,1.97,89.26,4.59,2.74,133.23,0.0,0.03,0.09,0.06,1.97,0.26,0.31,0.0,2.71,0.23,1.74,0.0,0.34,19.7,0.0,59.7,1.14,0.11,40.3,1.83,0.17,0.83,0.83,0.86,1.91,0.0,0.0,0.77,2.71,170.1,542.02,59.6,18.42,2.85,11.04,1.94,59.6,31.37,0.26,0.26,0.08,0.15,0.08,0.11,0.15
Abdoulaye Doucouré,Midfielders,3324,2017-2018 Premier League,45.2,34.2,1.38,1.14,0.08,20.7,9.34,1.16,43.43,1.68,0.19,1.41,1.65,0.0,0.7,0.08,1.62,1.25,0.73,2.14,0.0,1.19,0.7,0.0,0.0,0.0,0.16,0.0,0.03,0.19,0.19,0.27,0.09,0.15,0.41,0.0,1.46,1.08,59.89,1.49,0.19,0.09,0.05,0.0,0.0,82.7,68.4,87.7,86.1,61.68,5.23,24.29,28.54,1.04,51.04,3.57,21.31,24.56,0.16,45.81,0.95,4.12,0.81,0.0,0.03,0.0,0.0,1.98,106.44,6.01,2.14,211.52,0.0,0.03,0.11,0.03,2.25,0.11,0.16,0.0,2.68,0.27,1.27,0.0,0.46,36.2,0.0,77.4,1.11,0.43,22.6,2.14,0.24,0.76,1.14,1.41,1.44,0.05,0.05,0.32,3.6,203.72,831.17,71.89,15.84,1.79,13.59,2.57,71.89,43.54,0.27,0.16,0.08,0.09,0.08,0.06,0.09
Adam Lallana,Midfielders,468,2018-2019 Premier League,38.1,41.7,2.5,1.54,0.0,17.2,4.81,1.92,46.73,1.73,0.96,1.35,0.77,0.77,1.54,0.0,1.73,1.92,0.96,2.31,0.0,0.77,2.12,0.0,0.0,0.19,0.38,0.0,0.0,0.58,0.0,0.0,-0.06,0.0,0.0,0.38,0.96,1.73,58.08,1.92,0.0,-0.06,0.0,0.0,0.0,80.4,50.0,77.2,89.1,60.0,2.69,10.96,36.92,1.825,48.27,1.35,8.46,32.88,0.19,54.23,0.19,2.69,1.35,0.0,0.0,0.0,0.0,3.46,99.81,5.77,7.5,151.15,0.0,0.58,0.0,0.19,3.46,0.0,0.38,0.0,4.62,0.19,0.96,0.0,0.19,20.0,0.0,72.7,1.54,0.38,27.3,3.08,0.58,1.15,1.35,1.73,2.12,0.19,0.19,0.58,4.04,204.04,549.04,73.85,31.35,5.0,7.5,0.77,73.85,35.0,0.19,0.13,0.05,0.06,0.1,0.1,0.06
Adam Lallana,Midfielders,1561,2021-2022 Premier League,65.2,29.3,0.46,0.86,0.06,19.8,7.26,0.92,35.63,1.21,0.12,1.67,0.75,0.0,0.17,0.06,0.69,0.86,0.69,2.36,0.06,0.63,0.98,0.0,0.0,0.0,0.23,0.0,0.0,0.23,0.0,0.06,-0.06,0.0,0.0,0.0,0.92,0.46,54.71,1.38,0.0,-0.06,0.0,0.0,0.0,86.9,52.8,92.0,90.9,55.46,3.06,16.6,31.83,0.75,48.2,1.61,15.28,28.94,0.06,45.72,0.52,3.34,0.98,0.0,0.0,0.0,0.0,0.98,62.5,4.38,2.71,161.03,0.0,0.0,0.0,0.12,1.38,0.12,0.0,0.0,1.61,0.35,1.1,0.0,0.23,21.1,0.0,60.9,0.81,0.12,39.1,1.96,0.35,0.81,0.81,0.98,1.33,0.06,0.06,0.52,2.88,133.3,671.17,64.75,14.7,2.02,14.01,2.31,64.75,36.44,0.23,0.12,0.06,0.06,0.06,0.05,0.06
